#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.111832347742e+00       4.573826721490e-06      -1.205350903081e+00       6.339548637765e-07       1.043723397073e-11       2.609308492683e-11       2.416726643015e-19       5.218616985365e-12      -9.040131773107e-01       6.339548637766e-07       6.011631804179e-01       6.986624974549e-01      -1.205350903081e+00       6.339547372388e-07       1.785800522495e-07      -9.040131773109e-01       6.339551239992e-07 
       2.416191000191e+00       5.235887191432e-06      -1.205796755405e+00       7.251932480053e-07       1.564567589633e-11       3.911418974084e-11       4.747419260990e-19       7.822837948167e-12      -9.043475665539e-01       7.251932480055e-07       6.011691134113e-01       6.985511033189e-01      -1.205796755405e+00       7.251930583378e-07       2.337361198861e-07      -9.043475665542e-01       7.251936374309e-07 
       2.720549652639e+00       5.898672619113e-06      -1.206241852837e+00       8.163995643874e-07       2.235443482222e-11       5.588608705554e-11       8.609044973207e-19       1.117721741111e-11      -9.046813896276e-01       8.163995643877e-07       6.011750857511e-01       6.984399071608e-01      -1.206241852837e+00       8.163992934143e-07       2.962959130452e-07      -9.046813896279e-01       8.164001198624e-07 
       3.024908305088e+00       6.562183004533e-06      -1.206686246603e+00       9.075738766522e-07       3.075553685943e-11       7.688884214858e-11       1.465894393236e-18       1.537776842972e-11      -9.050146849525e-01       9.075738766527e-07       6.011810620525e-01       6.983288961704e-01      -1.206686246603e+00       9.075735038749e-07       3.662568253521e-07      -9.050146849530e-01       9.075746396005e-07 
       3.329266957537e+00       7.226418347692e-06      -1.207129920363e+00       9.987162065154e-07       4.104168967465e-11       1.026042241866e-10       2.372215438601e-18       2.052084483732e-11      -9.053474402721e-01       9.987162065161e-07       6.011870149418e-01       6.982180744300e-01      -1.207129920362e+00       9.987157091050e-07       4.436163416872e-07      -9.053474402730e-01       9.987172229237e-07 
       3.633625609985e+00       7.891378648591e-06      -1.207572897752e+00       1.089826608212e-06       5.340628517477e-11       1.335157129369e-10       3.681127256936e-18       2.670314258739e-11      -9.056796733136e-01       1.089826608214e-06       6.011929335167e-01       6.981074360274e-01      -1.207572897751e+00       1.089825961003e-06       5.283719109832e-07      -9.056796733148e-01       1.089827928616e-06 
       3.937984262434e+00       8.557063907230e-06      -1.208015201276e+00       1.180905141507e-06       6.804339975063e-11       1.701084993766e-10       5.514653778077e-18       3.402169987531e-11      -9.060114009572e-01       1.180905141509e-06       6.011988208687e-01       6.979969753326e-01      -1.208015201275e+00       1.180904316986e-06       6.205209218955e-07      -9.060114009589e-01       1.180906820976e-06 
       4.347563929359e+00       9.454030030328e-06      -1.208609319414e+00       1.303420525801e-06       9.167047396871e-11       2.291761849218e-10       9.068722811918e-18       4.583523698436e-11      -9.064569895608e-01       1.303420525803e-06       6.012067086445e-01       6.978486153870e-01      -1.208609319413e+00       1.303419415105e-06       7.561918252709e-07      -9.064569895632e-01       1.303422783342e-06 
       4.757143596285e+00       1.035230901266e-05      -1.209202221780e+00       1.425878370509e-06       1.202423312527e-10       3.006058281318e-10       1.426312005740e-17       6.012116562636e-11      -9.069016663347e-01       1.425878370513e-06       6.012145534550e-01       6.977005761072e-01      -1.209202221777e+00       1.425876913801e-06       9.052407688709e-07      -9.069016663383e-01       1.425881325011e-06 
       5.166723263210e+00       1.125190085422e-05      -1.209793909361e+00       1.548278776058e-06       1.542378112764e-10       3.855945281911e-10       2.161351208113e-17       7.711890563822e-11      -9.073454320210e-01       1.548278776064e-06       6.012223523120e-01       6.975528572381e-01      -1.209793909358e+00       1.548276907722e-06       1.067661470495e-06      -9.073454320259e-01       1.548282557337e-06 
