#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       1.399726661552e-01       3.219320748545e-07      -1.181686756403e+00       4.133807140173e-04       3.396439299252e-11       8.491098248131e-11       3.924316127619e-19       1.698219649626e-11      -8.862650673020e-01       4.133807140149e-04       5.912117001552e-01       7.045879548766e-01      -8.862650675684e-01       4.133883271178e-04      -1.181686823562e+00       4.133771010674e-04       7.723073054070e-06       3.333333333333e-01 
       1.500421312517e-01       3.450973927139e-07      -1.181710164045e+00       4.431151508495e-04       4.183548621279e-11       1.045887155320e-10       5.554433960051e-19       2.091774310639e-11      -8.862826230341e-01       4.431151508468e-04       5.912118083615e-01       7.045835403755e-01      -8.862826233858e-01       4.431245277653e-04      -1.181710241185e+00       4.431107006004e-04       8.874165576431e-06       3.333333333333e-01 
       1.601115963483e-01       3.682635040865e-07      -1.181734377486e+00       4.728490572961e-04       5.083753341409e-11       1.270938335352e-10       7.686231555851e-19       2.541876670704e-11      -8.863007831144e-01       4.728490572931e-04       5.912118559875e-01       7.045790242259e-01      -8.863007835705e-01       4.728604513212e-04      -1.181734465290e+00       4.728436494374e-04       1.010517649316e-05       3.333333333333e-01 
       1.701810614449e-01       3.914304089725e-07      -1.181759134135e+00       5.025823140319e-04       6.104647921167e-11       1.526161980292e-10       1.042752825474e-18       3.052323960583e-11      -8.863193506012e-01       5.025823140284e-04       5.912118844662e-01       7.045744720753e-01      -8.863193511833e-01       5.025959954441e-04      -1.181759233287e+00       5.025758201725e-04       1.141610529057e-05       3.333333333333e-01 
       1.802505265414e-01       4.145981073716e-07      -1.181784454292e+00       5.323149039700e-04       7.253828257943e-11       1.813457064486e-10       1.390059947656e-18       3.626914128971e-11      -8.863383407189e-01       5.323149039661e-04       5.912118878218e-01       7.045698788473e-01      -8.863383414515e-01       5.323311600296e-04      -1.181784565473e+00       5.323071876371e-04       1.280695001992e-05       3.333333333333e-01 
       1.903199916380e-01       4.377665992841e-07      -1.181810465465e+00       5.620468618607e-04       8.538891617946e-11       2.134722904486e-10       1.824308901321e-18       4.269445808973e-11      -8.863578490985e-01       5.620468618564e-04       5.912118461668e-01       7.045652126612e-01      -8.863578500090e-01       5.620659968085e-04      -1.181810589353e+00       5.620377784991e-04       1.427770688962e-05       3.333333333333e-01 
       2.007727124938e-01       4.618177508107e-07      -1.181838212335e+00       5.929097753365e-04       1.002474392662e-10       2.506185981656e-10       2.383560402378e-18       5.012371963312e-11      -8.863786592513e-01       5.929097753317e-04       5.912117532076e-01       7.045602880167e-01      -8.863786603789e-01       5.929322387650e-04      -1.181838350131e+00       5.928991113434e-04       1.588897170242e-05       3.333333333333e-01 
       2.112254333495e-01       4.858697574042e-07      -1.181866653992e+00       6.237719485470e-04       1.167370499164e-10       2.918426247910e-10       3.072274949230e-18       5.836852495821e-11      -8.863999904938e-01       6.237719485416e-04       5.912116192225e-01       7.045552972082e-01      -8.863999918753e-01       6.237981055824e-04      -1.181866806422e+00       6.237595304008e-04       1.758634222328e-05       3.333333333333e-01 
       2.216781542053e-01       5.099226190645e-07      -1.181895745691e+00       6.546333343730e-04       1.349427365378e-10       3.373568413446e-10       3.911737443635e-18       6.747136826892e-11      -8.864218092685e-01       6.546333343672e-04       5.912114522364e-01       7.045502514195e-01      -8.864218109443e-01       6.546635691289e-04      -1.181895913481e+00       6.546189795091e-04       1.936981571051e-05       3.333333333333e-01 
       2.321308750610e-01       5.339763357918e-07      -1.181925536765e+00       6.854939369977e-04       1.549495031530e-10       3.873737578825e-10       4.925449155521e-18       7.747475157649e-11      -8.864441525739e-01       6.854939369913e-04       5.912112428192e-01       7.045451383144e-01      -8.864441545888e-01       6.855286525727e-04      -1.181925720637e+00       6.854774538067e-04       2.123938864545e-05       3.333333333333e-01 
