# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.10732e-05 to 20.1095 h/Mpc,
# number of wavenumbers equal to 847
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       2.950047216342e-03      -1.436153772508e-01      -6.735940827907e+01      -6.736884367925e+01      -1.248605179950e-01      -1.243700314617e-01      -6.734873414345e+01       4.655318848518e-01       4.655323640287e-01 
       3.072578094223e-03      -1.605710674866e-01      -7.287656881832e+01      -7.288709481785e+01      -1.407101173762e-01      -1.402183614080e-01      -7.286528908470e+01       4.642933435361e-01       4.642936866102e-01 
       3.196086176276e-03      -1.876574035201e-01      -7.863945267718e+01      -7.865115863901e+01      -1.658808076025e-01      -1.653573764397e-01      -7.862757718851e+01       4.630365844893e-01       4.630367908185e-01 
       3.320483126124e-03      -1.846983423961e-01      -8.464642838431e+01      -8.465940486577e+01      -1.623453529809e-01      -1.618010317836e-01      -8.463395753639e+01       4.617631292722e-01       4.617633099645e-01 
       3.445689729029e-03      -1.442563093792e-01      -9.089570000237e+01      -9.091004057824e+01      -1.257591997819e-01      -1.252336709200e-01      -9.088263547965e+01       4.604744451896e-01       4.604746927458e-01 
       3.571634947869e-03      -1.000209539962e-01      -9.738533531585e+01      -9.740113888672e+01      -8.944067919293e-02      -8.895824612223e-02      -9.737169310347e+01       4.591719570316e-01       4.591722526186e-01 
       3.698255054619e-03      -8.875405471599e-02      -1.041132918013e+02      -1.041306653744e+02      -8.538230727519e-02      -8.492483009915e-02      -1.040991049592e+02       4.578570003875e-01       4.578572511074e-01 
       3.825492840360e-03      -1.090304676661e-01      -1.110774292096e+02      -1.110964902555e+02      -1.073712553137e-01      -1.068992349008e-01      -1.110627393091e+02       4.565307345852e-01       4.565308844143e-01 
       3.953296902846e-03      -1.242937727794e-01      -1.182755446930e+02      -1.182964229295e+02      -1.190799033235e-01      -1.185781349337e-01      -1.182603941178e+02       4.551942338418e-01       4.551943205140e-01 
       4.081621008042e-03      -1.064752185012e-01      -1.257053643841e+02      -1.257282028650e+02      -9.734410974796e-02      -9.683937529087e-02      -1.256898000874e+02       4.538484509174e-01       4.538485547219e-01 
       4.210423520647e-03      -6.871596579729e-02      -1.333645780438e+02      -1.333895332199e+02      -5.930351780990e-02      -5.883328522429e-02      -1.333486629248e+02       4.524943478581e-01       4.524945017875e-01 
       4.339666897875e-03      -4.855097023524e-02      -1.412508314494e+02      -1.412780719345e+02      -4.143157388243e-02      -4.099983516292e-02      -1.412346495679e+02       4.511328106274e-01       4.511329746842e-01 
       4.469317240545e-03      -6.217189810634e-02      -1.493617539489e+02      -1.493914590992e+02      -5.615428150722e-02      -5.572642618689e-02      -1.493454031542e+02       4.497646743866e-01       4.497647934301e-01 
       4.599343895654e-03      -8.524118824591e-02      -1.576949562676e+02      -1.577273136921e+02      -7.828869367905e-02      -7.783170135534e-02      -1.576785351872e+02       4.483906742176e-01       4.483907438636e-01 
       4.729719104860e-03      -8.360257961376e-02      -1.662480223097e+02      -1.662832268260e+02      -7.686020987355e-02      -7.638046460663e-02      -1.662316271689e+02       4.470114442164e-01       4.470115098174e-01 
       4.860417693748e-03      -5.627456759675e-02      -1.750185421296e+02      -1.750567932874e+02      -5.265928838417e-02      -5.219278805989e-02      -1.750022737075e+02       4.456276346695e-01       4.456277331193e-01 
       4.991416797156e-03       8.799026245124e-02      -1.840041075755e+02      -1.840456088206e+02      -3.557848485872e-02      -3.514546519568e-02      -1.839880575780e+02       4.442398660080e-01       4.442399063403e-01 
       5.122695616330e-03       8.771425120021e-02      -1.932022890626e+02      -1.932472486130e+02      -4.595230165673e-02      -4.553177304353e-02      -1.931866018888e+02       4.428487280401e-01       4.428487603533e-01 
       5.254235204113e-03       8.743766593857e-02      -2.026106756589e+02      -2.026593060416e+02      -6.855630741940e-02      -6.811205584126e-02      -2.025954730572e+02       4.414547130952e-01       4.414547324128e-01 
       5.386018274793e-03       8.716061602381e-02      -2.122268183859e+02      -2.122793398751e+02      -7.159973030826e-02      -7.112612750347e-02      -2.122122260842e+02       4.400582236093e-01       4.400582389211e-01 
       5.518029035642e-03       8.688320134728e-02      -2.220483147009e+02      -2.221049564757e+02      -4.665765768802e-02      -4.618844521632e-02      -2.220344657290e+02       4.386597277609e-01       4.386597498745e-01 
       5.650253037511e-03       8.660544793560e-02      -2.320727531942e+02      -2.321337555896e+02      -1.920269231162e-02      -2.750667664020e-01      -2.320597983189e+02       4.372595773324e-01       4.372595926901e-01 
       5.782677042191e-03       8.632606542735e-02      -2.422977149113e+02      -2.423633317923e+02      -1.976380527337e-02      -1.112944478458e+01      -2.422860264082e+02       4.358586701122e-01       4.358584146485e-01 
       5.915288904509e-03       8.604788103309e-02      -2.527207999005e+02      -2.527912999193e+02      -9.685310253978e-02      -1.372724773581e+01      -2.527103902494e+02       4.344565854657e-01       4.344563722110e-01 
       6.048077467387e-03       8.577079487527e-02      -2.633396039905e+02      -2.634152719519e+02      -1.930874086791e-01      -6.982136418917e+00      -2.633304735845e+02       4.330535738048e-01       4.330536793486e-01 
       6.181032468331e-03       8.549375913014e-02      -2.741517446177e+02      -2.742328803584e+02      -2.291846908018e-01       2.083762668403e+00      -2.741440408586e+02       4.316501624472e-01       4.316505377505e-01 
       6.314144455979e-03       8.521589182070e-02      -2.851548767991e+02      -2.852417943156e+02      -2.038936360566e-01       5.592868895709e+00      -2.851489167545e+02       4.302469304553e-01       4.302472693669e-01 
       6.447404715532e-03       8.493727154131e-02      -2.963466258612e+02      -2.964396534319e+02      -1.856452363388e-01       2.245539566188e+00      -2.963427707514e+02       4.288441616908e-01       4.288442291043e-01 
       6.580805202027e-03       8.465867367469e-02      -3.077246357411e+02      -3.078241114783e+02      -2.208628921187e-01      -2.591419031092e+00      -3.077231523674e+02       4.274419160340e-01       4.274417684846e-01 
       6.714338480547e-03       8.438073541407e-02      -3.192865984749e+02      -3.193928699954e+02      -2.804070336264e-01      -3.430310784337e+00      -3.192876503885e+02       4.260402725325e-01       4.260401541526e-01 
       6.847997672569e-03       8.410339700898e-02      -3.310301684869e+02      -3.311435953063e+02      -3.047353222567e-01      -2.522993553997e-01      -3.310339246881e+02       4.246393821299e-01       4.246394469862e-01 
       6.981776407759e-03       8.382620597625e-02      -3.429530573504e+02      -3.430740011645e+02      -2.815832327471e-01       2.572869040818e+00      -3.429597755179e+02       4.232395596700e-01       4.232397352617e-01 
       7.115668780595e-03       8.354890509253e-02      -3.550529587308e+02      -3.551817931485e+02      -2.571473348980e-01       1.887746943062e+00      -3.550629739583e+02       4.218410534167e-01       4.218411651743e-01 
       7.249669311281e-03       8.327173719925e-02      -3.673276987448e+02      -3.674648049838e+02      -2.732789252189e-01      -9.199472587854e-01      -3.673413288252e+02       4.204441169105e-01       4.204440964850e-01 
       7.383772910491e-03       8.299504260482e-02      -3.797748565144e+02      -3.799206277809e+02      -3.154387252371e-01      -2.225422934577e+00      -3.797923564722e+02       4.190486290167e-01       4.190485675401e-01 
       7.517974847507e-03       8.271894849371e-02      -3.923922296105e+02      -3.925470688962e+02      -3.356302417792e-01      -6.986221122552e-01      -3.924138328712e+02       4.176547481493e-01       4.176547641171e-01 
       7.652270721404e-03       8.244327052954e-02      -4.051776296907e+02      -4.053419540962e+02      -3.158593085719e-01       1.454367936365e+00      -4.052036247160e+02       4.162627022546e-01       4.162628030078e-01 
       7.786656434946e-03       8.216780360165e-02      -4.181287870069e+02      -4.183030307756e+02      -2.892585183907e-01       1.565535795141e+00      -4.181595332336e+02       4.148726269048e-01       4.148727201356e-01 
       7.921128170914e-03       8.189259801555e-02      -4.312434483038e+02      -4.314280642264e+02      -2.948776637399e-01      -2.516221405052e-01      -4.312793222892e+02       4.134846011799e-01       4.134846181893e-01 
       8.055682370606e-03       8.161789288555e-02      -4.445195102062e+02      -4.447149616622e+02      -3.275513417576e-01      -1.562923075706e+00      -4.445608489958e+02       4.120987688192e-01       4.120987402140e-01 
       8.190315714296e-03       8.134378724609e-02      -4.579546288814e+02      -4.581614039950e+02      -3.469198075814e-01      -8.193450142546e-01      -4.580017567885e+02       4.107150504061e-01       4.107150544664e-01 
       8.325025103439e-03       8.107021592411e-02      -4.715467378130e+02      -4.717653369575e+02      -3.310707342910e-01       8.471703789355e-01      -4.716000108352e+02       4.093336488475e-01       4.093337123471e-01 
