# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       4.157835337154e-03       4.803692776002e-01      -1.845237255468e+02      -1.845701178167e+02       2.871104438139e-01      -1.845002809706e+02       3.839679715661e-01       3.839680388094e-01 
       4.262996197086e-03       4.785808945743e-01      -1.932525856701e+02      -1.933027190564e+02       2.633434946813e-01      -1.932293427078e+02       3.825389269835e-01       3.825389736069e-01 
       4.368439608254e-03       4.767909884102e-01      -2.021707479587e+02      -2.022248506094e+02       2.553174878220e-01      -2.021478319495e+02       3.811086294714e-01       3.811086661448e-01 
       4.474148015489e-03       4.750001415858e-01      -2.112756600527e+02      -2.113339722161e+02       2.771702268944e-01      -2.112532050811e+02       3.796775354994e-01       3.796775792415e-01 
       4.580105245354e-03       4.732088723607e-01      -2.205647720788e+02      -2.206275494893e+02       3.079749275585e-01      -2.205429295009e+02       3.782460836117e-01       3.782461377462e-01 
       4.686296383141e-03       4.714177431103e-01      -2.300355845356e+02      -2.301030988786e+02       3.163729689225e-01      -2.300145250427e+02       3.768147583741e-01       3.768148103409e-01 
       4.792707661659e-03       4.696271999379e-01      -2.396855563495e+02      -2.397580948633e+02       2.976409239666e-01      -2.396654653327e+02       3.753839165817e-01       3.753839542982e-01 
       4.899326360693e-03       4.678377209332e-01      -2.495121725527e+02      -2.495900376759e+02       2.784338761225e-01      -2.494932447145e+02       3.739539050515e-01       3.739539310161e-01 
       5.006140716081e-03       4.660497733672e-01      -2.595129523430e+02      -2.595964597001e+02       2.840624357251e-01      -2.594953902101e+02       3.725250730834e-01       3.725251001190e-01 
       5.113139837481e-03       4.642637368304e-01      -2.696854187289e+02      -2.697748958975e+02       3.085790008163e-01      -2.696694366776e+02       3.710977335115e-01       3.710977689870e-01 
       5.220313633959e-03       4.624799431851e-01      -2.800271088874e+02      -2.801228929340e+02       3.237370851947e-01      -2.800129346798e+02       3.696721770173e-01       3.696722151438e-01 
       5.327652746615e-03       4.606986529041e-01      -2.905355457349e+02      -2.906379827619e+02       3.145294873802e-01      -2.905234179977e+02       3.682486311872e-01       3.682486615401e-01 
       5.435148487557e-03       4.589202123478e-01      -3.012083122003e+02      -3.013177554805e+02       2.968503319235e-01      -3.011984738306e+02       3.668273534268e-01       3.668273739456e-01 
       5.542792784574e-03       4.571449867128e-01      -3.120430402385e+02      -3.121598524289e+02       2.961801667634e-01      -3.120357386954e+02       3.654086166135e-01       3.654086352397e-01 
       5.650578130955e-03       4.553731211485e-01      -3.230372585561e+02      -3.231618096436e+02       3.151504177372e-01      -3.230327478697e+02       3.639925340533e-01       3.639925582492e-01 
       5.758497539923e-03       4.536048947245e-01      -3.341886309193e+02      -3.343213029951e+02       3.309789808486e-01      -3.341871797765e+02       3.625793525116e-01       3.625793804490e-01 
       5.866544503242e-03       4.518405003433e-01      -3.454947842470e+02      -3.456359724216e+02       3.251722023619e-01      -3.454966760782e+02       3.611692386620e-01       3.611692625265e-01 
       5.974712953570e-03       4.500801201272e-01      -3.569533466398e+02      -3.571034607989e+02       3.071107092692e-01      -3.569588765795e+02       3.597623256482e-01       3.597623419079e-01 
       6.082997230198e-03       4.483239703118e-01      -3.685619994999e+02      -3.687214661199e+02       3.015420286008e-01      -3.685714734059e+02       3.583587692881e-01       3.583587827960e-01 
       6.191392047843e-03       4.465722754610e-01      -3.803184781743e+02      -3.804877386808e+02       3.164638996593e-01      -3.803322139424e+02       3.569587457095e-01       3.569587631651e-01 
       6.299892468190e-03       4.448249838137e-01      -3.922203180347e+02      -3.923998380563e+02       3.327653601881e-01      -3.922386578385e+02       3.555622270305e-01       3.555622487033e-01 
       6.408493873925e-03       4.430823980670e-01      -4.042653962764e+02      -4.044556524100e+02       3.288059391978e-01      -4.042886957338e+02       3.541694691132e-01       3.541694891281e-01 
       6.517191945017e-03       4.413446383021e-01      -4.164514483518e+02      -4.166529346811e+02       3.082967431226e-01      -4.164800779469e+02       3.527805649144e-01       3.527805790742e-01 
