# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       6.534348545226e+13       1.661015589829e-25       6.655682227574e-09       9.817980622442e+21       1.372279007890e+04       2.100100719133e-10       8.966949338848e+17       3.842549742826e-09       5.016354925399e+43       6.940703385568e+32       3.672880167530e+33       4.622919424429e+43       1.540973141476e+43       5.697620130165e-08       9.639274350265e+43       5.878934928442e-06       2.350107566498e+00 
       6.488926062787e+13       1.684351197851e-25       6.702975952066e-09       9.681958783494e+21       1.372279007890e+04       2.114801424167e-10       8.904617019710e+17       3.869447591026e-09       4.878321006084e+43       6.796965622196e+32       3.596817043797e+33       4.495711582017e+43       1.498570527339e+43       5.697620130165e-08       9.374032588528e+43       5.975310910876e-06       2.312202605748e+00 
       6.443819327494e+13       1.708014647829e-25       6.748450687155e-09       9.547821440084e+21       1.372279007890e+04       2.129605034136e-10       8.842717993753e+17       3.896533724163e-09       4.744085335330e+43       6.656204580847e+32       3.522329141287e+33       4.372004089424e+43       1.457334696475e+43       5.697620130165e-08       9.116089425173e+43       6.071686893309e-06       2.275500977086e+00 
       6.399026144483e+13       1.732010545616e-25       6.795744411647e-09       9.415542483732e+21       1.372279007890e+04       2.144512269375e-10       8.781249249010e+17       3.923809460232e-09       4.613543397580e+43       6.518358615410e+32       3.449383838124e+33       4.251700628305e+43       1.417233542768e+43       5.697620130165e-08       8.865244026296e+43       6.168062875743e-06       2.239946274319e+00 
       6.354544334144e+13       1.756343561772e-25       6.843038136140e-09       9.285096167674e+21       1.372279007890e+04       2.159523855261e-10       8.720207794449e+17       3.951276126453e-09       4.486593553207e+43       6.383367356428e+32       3.377949188008e+33       4.134707530686e+43       1.378235843562e+43       5.697620130165e-08       8.621301084295e+43       6.264438858176e-06       2.205485562407e+00 
       6.310371732020e+13       1.781018432471e-25       6.892150850035e-09       9.156457101851e+21       1.372279007890e+04       2.174640522248e-10       8.659590659830e+17       3.978935059338e-09       4.363136959379e+43       6.251171684661e+32       3.307993906231e+33       4.020933706032e+43       1.340311235344e+43       5.697620130165e-08       8.384070665804e+43       6.360814840610e-06       2.172069114491e+00 
       6.266506188699e+13       1.806039960429e-25       6.939444574527e-09       9.029600247969e+21       1.372279007890e+04       2.189863005903e-10       8.599394895561e+17       4.006787604753e-09       4.243077493099e+43       6.121713705189e+32       3.239487355970e+33       3.910290570328e+43       1.303430190109e+43       5.697620130165e-08       8.153368063812e+43       6.457190823043e-06       2.139650172484e+00 
       6.222945569711e+13       1.831413015832e-25       6.988557288423e-09       8.904500914621e+21       1.372279007890e+04       2.205192046945e-10       8.539617572553e+17       4.034835117986e-09       4.126321676367e+43       5.994936722065e+32       3.172399534873e+33       3.802691977104e+43       1.267563992368e+43       5.697620130165e-08       7.929013653849e+43       6.553566805477e-06       2.108184728771e+00 
       6.179687755423e+13       1.857142537292e-25       7.037670002319e-09       8.781134752485e+21       1.372279007890e+04       2.220628391273e-10       8.480255782079e+17       4.063078963812e-09       4.012778603396e+43       5.870785213476e+32       3.106701061918e+33       3.698054150364e+43       1.232684716788e+43       5.697620130165e-08       7.710832754130e+43       6.649942787910e-06       2.077631326905e+00 
       6.136730640936e+13       1.883233532798e-25       7.086782716215e-09       8.659477749582e+21       1.372279007890e+04       2.236172790012e-10       8.421306635629e+17       4.091520516558e-09       3.902359869832e+43       5.749204807436e+32       3.042363164547e+33       3.596295619358e+43       1.198765206453e+43       5.697620130165e-08       7.498655489551e+43       6.746318770344e-06       2.047950879378e+00 
