# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02716e-05 to 23.4501 h/Mpc,
# number of wavenumbers equal to 850
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       6.411254132785e-03       2.235239833366e-01      -3.310730333700e+02      -3.311921379085e+02       2.271467686219e-01      -3.310746774952e+02       4.019942157274e-01       4.019942157274e-01 
       6.534990038280e-03       2.227522742453e-01      -3.427665708815e+02      -3.428934989216e+02       2.263623805895e-01      -3.427713166522e+02       4.005847442417e-01       4.005847442417e-01 
       6.658843186867e-03       2.219791448934e-01      -3.546287439918e+02      -3.547638764201e+02       2.255765871879e-01      -3.546368615246e+02       3.991775088972e-01       3.991775088972e-01 
       6.782807969398e-03       2.211929110989e-01      -3.666586380007e+02      -3.668023681577e+02       2.247776940917e-01      -3.666704081590e+02       3.977741485566e-01       3.977741485566e-01 
       6.906879167064e-03       2.204098463309e-01      -3.788522489972e+02      -3.790049815961e+02       2.239819924497e-01      -3.788679633923e+02       3.963728297814e-01       3.963728297814e-01 
       7.031051920274e-03       2.196289907275e-01      -3.912074280824e+02      -3.913695825565e+02       2.231885227483e-01      -3.912273913416e+02       3.949738374999e-01       3.949738374999e-01 
       7.155321700423e-03       2.188602210787e-01      -4.037205155097e+02      -4.038925306196e+02       2.224071715783e-01      -4.037450495961e+02       3.935759425095e-01       3.935759425095e-01 
       7.279684284251e-03       2.180926101262e-01      -4.163906720994e+02      -4.165729978746e+02       2.216270025523e-01      -4.164201087041e+02       3.921807240165e-01       3.921807240165e-01 
       7.404135730526e-03       2.173186656652e-01      -4.292166426643e+02      -4.294097545893e+02       2.208405165311e-01      -4.292513352564e+02       3.907891799376e-01       3.907891799376e-01 
       7.528672358818e-03       2.165042131614e-01      -4.422011302026e+02      -4.424055164350e+02       2.200135056547e-01      -4.422414421136e+02       3.894056435846e-01       3.894056435846e-01 
       7.653290730156e-03       2.157343244720e-01      -4.553302694877e+02      -4.555464281721e+02       2.192311281542e-01      -4.553765765433e+02       3.880197615598e-01       3.880197615598e-01 
       7.777987629375e-03       2.149681124866e-01      -4.686072764227e+02      -4.688357280168e+02       2.184524558694e-01      -4.686599722659e+02       3.866365684526e-01       3.866365684526e-01 
       7.902760049002e-03       2.142017044682e-01      -4.820305197521e+02      -4.822717937327e+02       2.176736126043e-01      -4.820900060951e+02       3.852565942048e-01       3.852565942048e-01 
       8.027605174513e-03       2.134350512627e-01      -4.955979798470e+02      -4.958526150476e+02       2.168945503489e-01      -4.956646668701e+02       3.838799949597e-01       3.838799949597e-01 
       8.152520370849e-03       2.126715889402e-01      -5.093070014526e+02      -5.095755542157e+02       2.161187092568e-01      -5.093813148460e+02       3.825064265557e-01       3.825064265557e-01 
       8.277503170056e-03       2.119097584125e-01      -5.231556717809e+02      -5.234386973401e+02       2.153445288808e-01      -5.232380368719e+02       3.811361058146e-01       3.811361058146e-01 
       8.402551259954e-03       2.111499699637e-01      -5.371419312990e+02      -5.374400052642e+02       2.145724210498e-01      -5.372327911595e+02       3.797691246248e-01       3.797691246248e-01 
       8.527662473732e-03       2.103915047438e-01      -5.512633488761e+02      -5.515770527101e+02       2.138016639843e-01      -5.513631522224e+02       3.784052920574e-01       3.784052920574e-01 
       8.652834780395e-03       2.096341774997e-01      -5.655184789271e+02      -5.658484098089e+02       2.130320759022e-01      -5.656276881196e+02       3.770450925955e-01       3.770450925955e-01 
       8.778066275970e-03       2.088839401256e-01      -5.799037995757e+02      -5.802505662391e+02       2.122696131426e-01      -5.800228877357e+02       3.756876009814e-01       3.756876009814e-01 
       8.903355175419e-03       2.081313548397e-01      -5.944190572888e+02      -5.947832844666e+02       2.115048289810e-01      -5.945485110678e+02       3.743340457638e-01       3.743340457638e-01 
       9.028699805185e-03       2.073809296493e-01      -6.090614140515e+02      -6.094437449588e+02       2.107422364154e-01      -6.092017364837e+02       3.729839326671e-01       3.729839326671e-01 
       9.154098596320e-03       2.066331564882e-01      -6.238288906095e+02      -6.242299856540e+02       2.099823288317e-01      -6.239805997733e+02       3.716373224494e-01       3.716373224494e-01 
       9.279550078147e-03       2.058861285590e-01      -6.387196149054e+02      -6.391401539896e+02       2.092231965213e-01      -6.388832458276e+02       3.702943244764e-01       3.702943244764e-01 
       9.405052872403e-03       2.051416490695e-01      -6.537312838588e+02      -6.541719597142e+02       2.084666450171e-01      -6.539073830373e+02       3.689547821788e-01       3.689547821788e-01 
       9.530605687829e-03       2.043987142156e-01      -6.688620757296e+02      -6.693236018414e+02       2.077116694739e-01      -6.690512076542e+02       3.676188153343e-01       3.676188153343e-01 
       9.656207315165e-03       2.036577174816e-01      -6.841101776242e+02      -6.845932744093e+02       2.069586649355e-01      -6.843129131519e+02       3.662865222524e-01       3.662865222524e-01 
       9.781856622522e-03       2.029192305258e-01      -6.994730598065e+02      -6.999784762954e+02       2.062082019414e-01      -6.996899946049e+02       3.649576192466e-01       3.649576192466e-01 
       9.907552551093e-03       2.021823951403e-01      -7.149490581321e+02      -7.154775443434e+02       2.054594219159e-01      -7.151807891947e+02       3.636322717050e-01       3.636322717050e-01 
       1.003329411118e-02       2.014477796265e-01      -7.305364026568e+02      -7.310887230092e+02       2.047128950249e-01      -7.307835396108e+02       3.623105747074e-01       3.623105747074e-01 
       1.015908037850e-02       2.007159238150e-01      -7.462329668625e+02      -7.468099010648e+02       2.039691614267e-01      -7.464961328235e+02       3.609924348063e-01       3.609924348063e-01 
       1.028491049080e-02       1.999859873106e-01      -7.620369814205e+02      -7.626393163877e+02       2.032273796697e-01      -7.623168060893e+02       3.596779257456e-01       3.596779257456e-01 
       1.041078364465e-02       1.992510585235e-01      -7.779483420313e+02      -7.785768850273e+02       2.024806310549e-01      -7.782454722516e+02       3.583678789054e-01       3.583678789054e-01 
       1.053669909250e-02       1.985284067944e-01      -7.939603831908e+02      -7.946159564434e+02       2.017462016264e-01      -7.942754803645e+02       3.570600891308e-01       3.570600891308e-01 
       1.066265613997e-02       1.978035773651e-01      -8.100755472604e+02      -8.107589815285e+02       2.010096237945e-01      -8.104092792408e+02       3.557565449410e-01       3.557565449410e-01 
       1.078865414329e-02       1.970828114287e-01      -8.262900305384e+02      -8.270021732116e+02       2.002771441594e-01      -8.266430802910e+02       3.544563713739e-01       3.544563713739e-01 
       1.091469250694e-02       1.963603033133e-01      -8.426034947026e+02      -8.433452165256e+02       1.995429507102e-01      -8.429765649326e+02       3.531602201304e-01       3.531602201304e-01 
       1.104077068146e-02       1.956415056816e-01      -8.590128135019e+02      -8.597849989437e+02       1.988125024787e-01      -8.594066193820e+02       3.518675333979e-01       3.518675333979e-01 
       1.116688816139e-02       1.949207364036e-01      -8.755175930117e+02      -8.763211457046e+02       1.980801107156e-01      -8.759328659460e+02       3.505788917654e-01       3.505788917654e-01 
       1.129304448337e-02       1.942109571741e-01      -8.921121664310e+02      -8.929479980176e+02       1.973587505101e-01      -8.925496462397e+02       3.492927518752e-01       3.492927518752e-01 
       1.141923922438e-02       1.934982707023e-01      -9.087990479466e+02      -9.096680887815e+02       1.966345107029e-01      -9.092594894401e+02       3.480108332108e-01       3.480108332108e-01 
       1.154547200010e-02       1.927867623325e-01      -9.255752036461e+02      -9.264784002890e+02       1.959114806650e-01      -9.260593761608e+02       3.467326240461e-01       3.467326240461e-01 
       1.167174246335e-02       1.920805690939e-01      -9.424374550119e+02      -9.433757585392e+02       1.951938014175e-01      -9.429461326258e+02       3.454575935792e-01       3.454575935792e-01 
       1.179805030269e-02       1.913714081818e-01      -9.593867140432e+02      -9.603610995438e+02       1.944731815371e-01      -9.599206907556e+02       3.441867226356e-01       3.441867226356e-01 
       1.192439524110e-02       1.906689406045e-01      -9.764181771163e+02      -9.774296158036e+02       1.937592922771e-01      -9.769782450932e+02       3.429188906539e-01       3.429188906539e-01 
       1.205077703470e-02       1.899638839432e-01      -9.935333179904e+02      -9.945828000384e+02       1.930428417887e-01      -9.941202849049e+02       3.416552278169e-01       3.416552278169e-01 
       1.217719547165e-02       1.892630457140e-01      -1.010727741271e+03      -1.011816278347e+03       1.923306436200e-01      -1.011342434172e+03       3.403947922941e-01       3.403947922941e-01 
       1.230365037106e-02       1.885662196974e-01      -1.027999876776e+03      -1.029128486834e+03       1.916224915906e-01      -1.028643128467e+03       3.391376403490e-01       3.391376403490e-01 
       1.243014158202e-02       1.878694035293e-01      -1.045349715157e+03      -1.046519422618e+03       1.909143797672e-01      -1.046022363882e+03       3.378843231605e-01       3.378843231605e-01 
       1.255666898266e-02       1.871730887935e-01      -1.062775479568e+03      -1.063987326834e+03       1.902068002701e-01      -1.063478379217e+03       3.366347868496e-01       3.366347868496e-01 
       1.268323247927e-02       1.864796121741e-01      -1.080274352413e+03      -1.081529398776e+03       1.895020914520e-01      -1.081008371916e+03       3.353886535343e-01       3.353886535343e-01 
       1.280983200559e-02       1.857890141464e-01      -1.097844609535e+03      -1.099143941967e+03       1.888002936848e-01      -1.098610641607e+03       3.341459052550e-01       3.341459052550e-01 
       1.293646752200e-02       1.850961817817e-01      -1.115486944351e+03      -1.116831656862e+03       1.880962894451e-01      -1.116285887420e+03       3.329072365350e-01       3.329072365350e-01 
