# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.697823467967e+13       9.991130883565e-26       5.329638952389e-09       1.632229530822e+22       1.419245727533e+04       1.631725146826e-10       1.234434879575e+18       3.076583670235e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       3.669988173570e-08       1.089387667592e+44       2.664173241289e+44       1.578720927071e-06       7.167828077817e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.419245727533e+04       1.643147222853e-10       1.225853902259e+18       3.098119755927e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       3.669988173570e-08       1.059411230189e+44       2.590863780596e+44       1.657656973424e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.419245727533e+04       1.654649253413e-10       1.217332574239e+18       3.119806594218e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       3.669988173570e-08       1.030259647727e+44       2.519571559977e+44       1.736593019778e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589817e+22       1.419245727533e+04       1.666231798187e-10       1.208870480873e+18       3.141645240377e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       3.669988173570e-08       1.001910222855e+44       2.450241071487e+44       1.815529066131e-06       6.232893980710e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.419245727533e+04       1.677895420775e-10       1.200467210401e+18       3.163636757060e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       3.669988173570e-08       9.743408827823e+43       2.382818334581e+44       1.894465112485e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902309e+22       1.419245727533e+04       1.689640688720e-10       1.192122353923e+18       3.185782214359e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       3.669988173570e-08       9.475301620897e+43       2.317250854085e+44       1.973401158838e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.419245727533e+04       1.701468173541e-10       1.183835505385e+18       3.208082689860e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       3.669988173570e-08       9.214571860169e+43       2.253487579320e+44       2.052337205191e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.419245727533e+04       1.713378450756e-10       1.175606261554e+18       3.230539268688e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       3.669988173570e-08       8.961016542097e+43       2.191478864362e+44       2.131273251545e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889097e-25       5.635229172185e-09       1.459854934361e+22       1.419245727533e+04       1.725372099911e-10       1.167434222000e+18       3.253153043569e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       3.669988173570e-08       8.714438249143e+43       2.131176429379e+44       2.210209297898e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578414e+22       1.419245727533e+04       1.737449704610e-10       1.159318989077e+18       3.275925114874e-09       1.225068823353e+44       1.355915602413e+33       7.175231742800e+33       3.669988173570e-08       8.474644996064e+43       2.072533323045e+44       2.289145344252e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.419245727533e+04       1.749611852543e-10       1.151260167902e+18       3.298856590678e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       3.669988173570e-08       8.241450080431e+43       2.015503885985e+44       2.368081390605e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.419245727533e+04       1.761859135510e-10       1.143257366337e+18       3.321948586812e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       3.669988173570e-08       8.014671937265e+43       1.960043715221e+44       2.447017436958e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929124e-25       5.793481250294e-09       1.380619292058e+22       1.419245727533e+04       1.774192149459e-10       1.135310194972e+18       3.345202226920e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       3.669988173570e-08       7.794133997669e+43       1.906109629603e+44       2.525953483312e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.419245727533e+04       1.786611494505e-10       1.127418267103e+18       3.368618642508e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       3.669988173570e-08       7.579664551354e+43       1.853659636185e+44       2.604889529665e-06       4.344138228979e+00 
