# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       8.577320689599e+13       1.027475739932e-25       5.404217517935e-09       1.587173131265e+22       1.419311605844e+04       1.654726058646e-10       1.217389080179e+18       3.120087097952e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       1.029806636359e+44       3.432688787863e+43       3.667546103802e-08       2.519118548609e+44       1.736106879800e-06       6.516207343469e+00 
       8.517696811915e+13       1.041910746603e-25       5.442416295409e-09       1.565183863171e+22       1.419311605844e+04       1.666309141056e-10       1.208926594021e+18       3.141927707638e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       1.001469676900e+44       3.338232256333e+43       3.667546103802e-08       2.449800525532e+44       1.815020828882e-06       6.232893980709e+00 
       8.458487400115e+13       1.056548550682e-25       5.480615072884e-09       1.543499242316e+22       1.419311605844e+04       1.677973305044e-10       1.200522933487e+18       3.163921201591e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       9.739124592320e+43       3.246374864107e+43       3.667546103802e-08       2.382389911031e+44       1.893934777963e-06       5.973190064846e+00 
       8.399689573103e+13       1.071392001270e-25       5.518813850358e-09       1.522115048007e+22       1.419311605844e+04       1.689719118179e-10       1.192177689659e+18       3.186068650002e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       9.471135273747e+43       3.157045091249e+43       3.667546103802e-08       2.316834219369e+44       1.972848727045e-06       5.734262462252e+00 
       8.341300469814e+13       1.086443987496e-25       5.557012627833e-09       1.501027118026e+22       1.419311605844e+04       1.701547152006e-10       1.183890456464e+18       3.208371130552e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       9.210520157464e+43       3.070173385821e+43       3.667546103802e-08       2.253082409050e+44       2.051762676127e-06       5.513713906012e+00 
       8.283317249071e+13       1.101707439076e-25       5.595211405307e-09       1.480231347821e+22       1.419311605844e+04       1.713457982070e-10       1.175660830649e+18       3.230829728466e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       8.957076329191e+43       2.985692109730e+43       3.667546103802e-08       2.191084843071e+44       2.130676625208e-06       5.309502279863e+00 
       8.225737089444e+13       1.117185326888e-25       5.635229172185e-09       1.459723689704e+22       1.419311605844e+04       1.725452187945e-10       1.167488411767e+18       3.253445536565e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       8.710606458196e+43       2.903535486065e+43       3.667546103802e-08       2.130793250284e+44       2.209590574290e-06       5.119877198439e+00 
       8.168557189121e+13       1.132880663545e-25       5.675246939063e-09       1.439500152068e+22       1.419311605844e+04       1.737530353260e-10       1.159372802152e+18       3.276219655321e-09       1.225068823353e+44       1.355915602413e+33       7.175231742800e+33       8.470918643654e+43       2.823639547885e+43       3.667546103802e-08       2.072160687804e+44       2.288504523372e-06       4.943329708838e+00 
       8.111774765760e+13       1.148796503987e-25       5.713445716538e-09       1.419556798605e+22       1.419311605844e+04       1.749693065733e-10       1.151313606904e+18       3.299153192908e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       8.237826265229e+43       2.745942088410e+43       3.667546103802e-08       2.015141504465e+44       2.367418472454e-06       4.778552051877e+00 
       8.055387056366e+13       1.164935946072e-25       5.753463483416e-09       1.399889747542e+22       1.419311605844e+04       1.761940917193e-10       1.143310433866e+18       3.322247265258e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       8.011147837777e+43       2.670382612592e+43       3.667546103802e-08       1.959691305272e+44       2.446332421535e-06       4.624405211493e+00 
       7.999391317146e+13       1.181302131178e-25       5.795300239697e-09       1.380495170886e+22       1.419311605844e+04       1.774274503613e-10       1.135362893611e+18       3.345502996114e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       7.790706870041e+43       2.596902290014e+43       3.667546103802e-08       1.905766916840e+44       2.525246370617e-06       4.479892548634e+00 
       7.943784823382e+13       1.197898244819e-25       5.835318006575e-09       1.361369293679e+22       1.419311605844e+04       1.786694425139e-10       1.127470599415e+18       3.368921517087e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       7.576331727233e+43       2.525443909078e+43       3.667546103802e-08       1.853326353773e+44       2.604160319699e-06       4.344138228979e+00 
       7.888564869297e+13       1.214727517260e-25       5.875335773453e-09       1.342508393263e+22       1.419311605844e+04       1.799201286115e-10       1.119633167245e+18       3.392503967707e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       7.367855497401e+43       2.455951832467e+43       3.667546103802e-08       1.802328785981e+44       2.683074268780e-06       4.216369457538e+00 
       7.833728767921e+13       1.231793224150e-25       5.917172529735e-09       1.323908798552e+22       1.419311605844e+04       1.811795695118e-10       1.111850215734e+18       3.416251495480e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       7.165115861474e+43       2.388371953825e+43       3.667546103802e-08       1.752734506884e+44       2.761988217862e-06       4.095901758751e+00 
       7.779273850965e+13       1.249098687156e-25       5.959009286016e-09       1.305566889324e+22       1.419311605844e+04       1.824478264983e-10       1.104121366171e+18       3.440165255949e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       6.967954966877e+43       2.322651655626e+43       3.667546103802e-08       1.704504902500e+44       2.840902166944e-06       3.982126709897e+00 
       7.725197468684e+13       1.266647274612e-25       6.000846042298e-09       1.287479095511e+22       1.419311605844e+04       1.837249612838e-10       1.096446242474e+18       3.464246412740e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       6.776219304629e+43       2.258739768210e+43       3.667546103802e-08       1.657602421379e+44       2.919816116025e-06       3.874501663684e+00 
       7.671496989756e+13       1.284442402173e-25       6.042682798579e-09       1.269641896508e+22       1.419311605844e+04       1.850110360128e-10       1.088824471176e+18       3.488496137629e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       6.589759589823e+43       2.196586529941e+43       3.667546103802e-08       1.611990545368e+44       2.998730065107e-06       3.772541093587e+00 
       7.618169801148e+13       1.302487533481e-25       6.084519554861e-09       1.252051820482e+22       1.419311605844e+04       1.863061132649e-10       1.081255681406e+18       3.512915610592e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       6.408430645389e+43       2.136143548463e+43       3.667546103802e-08       1.567633761172e+44       3.077644014189e-06       3.675809270674e+00 
       7.565213307992e+13       1.320786180839e-25       6.126356311142e-09       1.234705443703e+22       1.419311605844e+04       1.876102560578e-10       1.073739504872e+18       3.537506019866e-09       9.012884037369e+43       1.077110178424e+33       5.699849702270e+33       6.232091289063e+43       2.077363763021e+43       3.667546103802e-08       1.524497532711e+44       3.156557963270e-06       3.583914038907e+00 
