# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06198e-06 to 23.1673 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       2.338607704804e-03       2.765176694916e-01      -7.601028818144e+01      -7.602272636990e+01       3.078315389688e-01       4.692311470522e-01      -7.599187711259e+01       3.752414851219e-01       3.752418343105e-01 
       2.422847105149e-03       2.862585707788e-01      -8.130947023993e+01      -8.132314834049e+01       3.188021806772e-01       9.839539673602e-01      -8.129005298195e+01       3.739757682686e-01       3.739761029553e-01 
       2.507957362592e-03       3.315612699956e-01      -8.682332008094e+01      -8.683833337958e+01       3.378271739545e-01       1.370242121240e+00      -8.680289872361e+01       3.726933408895e-01       3.726938685680e-01 
       2.593878044691e-03       3.815836309401e-01      -9.255057624620e+01      -9.256703014945e+01       2.843981240097e-01       1.479639197761e+00      -9.252918907791e+01       3.713957926258e-01       3.713963756628e-01 
       2.680552914988e-03       4.019525622847e-01      -9.848975404524e+01      -9.850776576300e+01       1.606733503256e-01       1.263104457569e+00      -9.846745958349e+01       3.700845595277e-01       3.700850617933e-01 
       2.767929755618e-03       3.886977306025e-01      -1.046391788723e+02      -1.046588785261e+02       3.900605613629e-02       7.970782971226e-01      -1.046160328435e+02       3.687608958831e-01       3.687612785122e-01 
       2.855960164255e-03       3.710417440092e-01      -1.109970177745e+02      -1.110185482342e+02      -1.739850710333e-02       2.604407212629e-01      -1.109730600312e+02       3.674259415666e-01       3.674262637165e-01 
       2.944599335947e-03       3.794835574234e-01      -1.175612971882e+02      -1.175848132620e+02      -6.555490974174e-03      -1.324238083871e-01      -1.175365554276e+02       3.660807731574e-01       3.660811172379e-01 
       3.033805838064e-03       4.130033433182e-01      -1.243299302166e+02      -1.243555970606e+02       2.183173144735e-02      -2.177930808169e-01      -1.243044346058e+02       3.647264684561e-01       3.647268630893e-01 
       3.123541384599e-03       4.412343073584e-01      -1.313007312223e+02      -1.313287225723e+02       1.732915428669e-02       4.705566400809e-02      -1.312745279806e+02       3.633640875089e-01       3.633644924432e-01 
       3.213770614470e-03       4.395927036459e-01      -1.384714406010e+02      -1.385019358642e+02      -2.772519343122e-02       5.605475913880e-01      -1.384445950364e+02       3.619946579281e-01       3.619950143142e-01 
       3.304460877095e-03       4.181277356476e-01      -1.458397272194e+02      -1.458729109504e+02      -7.821697454341e-02       1.113628868988e+00      -1.458123207212e+02       3.606191182740e-01       3.606194089675e-01 
       3.395582027508e-03       4.105788711392e-01      -1.534032025358e+02      -1.534392635887e+02      -9.521959300099e-02       1.474450041063e+00      -1.533753291005e+02       3.592383246695e-01       3.592385856618e-01 
