# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.111774765760e+13       1.077735221535e-25       5.360561772250e-09       1.513156343842e+22       1.372220133697e+04       1.691639836314e-10       1.113114065359e+18       3.095076965237e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       2.741382349251e+43       9.137941164170e+42       5.700558260441e-08       8.241450080431e+43       2.289642120910e+44       2.892003297551e-06       4.778552051877e+00 
       8.055387056366e+13       1.092876323662e-25       5.398760549724e-09       1.492192530975e+22       1.372220133697e+04       1.703481315168e-10       1.105376430346e+18       3.116742503994e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       2.665948342759e+43       8.886494475863e+42       5.700558260441e-08       8.014671937265e+43       2.226638549497e+44       2.988403407469e-06       4.624405211494e+00 
       7.999391317146e+13       1.108230143133e-25       5.436959327199e-09       1.471519158320e+22       1.372220133697e+04       1.715405684374e-10       1.097692582271e+18       3.138559701521e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       2.592590036994e+43       8.641966789980e+42       5.700558260441e-08       7.794133997669e+43       2.165368633302e+44       3.084803517387e-06       4.479892548635e+00 
       7.943784823382e+13       1.123799668414e-25       5.473339115269e-09       1.451132202014e+22       1.372220133697e+04       1.727413524165e-10       1.090062147240e+18       3.160529619432e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       2.521250315362e+43       8.404167717874e+42       5.700558260441e-08       7.579664551354e+43       2.105784667722e+44       3.181203627306e-06       4.344138228979e+00 
       7.888564869297e+13       1.139587929956e-25       5.513356882147e-09       1.431027693942e+22       1.372220133697e+04       1.739505418834e-10       1.082484753962e+18       3.182653326768e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       2.451873632934e+43       8.172912109781e+42       5.700558260441e-08       7.371096612945e+43       2.047840260829e+44       3.277603737224e-06       4.216369457539e+00 
       7.833728767921e+13       1.155598000783e-25       5.551555659622e-09       1.411201720964e+22       1.372220133697e+04       1.751681956766e-10       1.074960033726e+18       3.204931900055e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       2.384405973199e+43       7.948019910662e+42       5.700558260441e-08       7.168267791965e+43       1.991490297252e+44       3.374003847142e-06       4.095901758752e+00 
       7.779273850965e+13       1.171832997096e-25       5.589754437096e-09       1.391650424155e+22       1.372220133697e+04       1.763943730463e-10       1.067487620383e+18       3.227366423355e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       2.318794806004e+43       7.729316020012e+42       5.700558260441e-08       6.971020166400e+43       1.936690903052e+44       3.470403957060e-06       3.982126709898e+00 
       7.725197468684e+13       1.188296078873e-25       5.629772203974e-09       1.372369998053e+22       1.372220133697e+04       1.776291336577e-10       1.060067150331e+18       3.249957988318e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       2.254989046658e+43       7.516630155528e+42       5.700558260441e-08       6.779200159740e+43       1.883399411556e+44       3.566804066979e-06       3.874501663684e+00 
       7.671496989756e+13       1.204990450485e-25       5.667970981449e-09       1.353356689917e+22       1.372220133697e+04       1.788725375933e-10       1.052698262494e+18       3.272707694237e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       2.192939016158e+43       7.309796720525e+42       5.700558260441e-08       6.592658421409e+43       1.831574330142e+44       3.663204176897e-06       3.772541093587e+00 
       7.618169801148e+13       1.221919361323e-25       5.707988748327e-09       1.334606798998e+22       1.372220133697e+04       1.801246453564e-10       1.045380598305e+18       3.295616648096e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       2.132596402503e+43       7.108654675008e+42       5.700558260441e-08       6.411249710473e+43       1.781175307931e+44       3.759604286815e-06       3.675809270675e+00 
