# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.517696811915e+13       9.237253956900e-26       4.823959898204e-09       1.765440135191e+22       1.330060624629e+04       1.561526142570e-10       1.132905314206e+18       2.785534580990e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       6.665377994560e+43       2.221792664853e+43       8.111013765352e-08       1.001910222855e+44       3.116778870943e+44       2.652916148129e-06       6.232893980711e+00 
       8.458487400115e+13       9.367028137740e-26       4.858520696871e-09       1.740981091832e+22       1.330060624629e+04       1.572456825568e-10       1.125030103482e+18       2.805033323057e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       6.481968275354e+43       2.160656091785e+43       8.111013765352e-08       9.743408827823e+43       3.031015162117e+44       2.768260328482e-06       5.973190064848e+00 
       8.399689573103e+13       9.498625516047e-26       4.893081495538e-09       1.716860912867e+22       1.330060624629e+04       1.583464023347e-10       1.117209636029e+18       2.824668556318e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       6.303605400471e+43       2.101201800157e+43       8.111013765352e-08       9.475301620897e+43       2.947611394132e+44       2.883604508836e-06       5.734262462254e+00 
       8.341300469814e+13       9.632071705922e-26       4.925823304802e-09       1.693074903548e+22       1.330060624629e+04       1.594548271511e-10       1.109443531310e+18       2.844441236213e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       6.130150497023e+43       2.043383499008e+43       8.111013765352e-08       9.214571860169e+43       2.866502629023e+44       2.998948689189e-06       5.513713906013e+00 
       8.283317249071e+13       9.767392681318e-26       4.960384103470e-09       1.669618434166e+22       1.330060624629e+04       1.605710109411e-10       1.101731411430e+18       2.864352324866e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       5.961468513455e+43       1.987156171152e+43       8.111013765352e-08       8.961016542097e+43       2.787625715707e+44       3.114292869542e-06       5.309502279865e+00 
       8.225737089444e+13       9.904614781098e-26       4.996763891540e-09       1.646486939158e+22       1.330060624629e+04       1.616950080177e-10       1.094072901122e+18       2.884402791140e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       5.797428114396e+43       1.932476038132e+43       8.111013765352e-08       8.714438249143e+43       2.710919240818e+44       3.229637049896e-06       5.119877198441e+00 
       8.168557189121e+13       1.004376471416e-25       5.031324690208e-09       1.623675916211e+22       1.330060624629e+04       1.628268730739e-10       1.086467627728e+18       2.904593610678e-09       1.225068823354e+44       1.355915602413e+33       7.175231742800e+33       5.637901578399e+43       1.879300526133e+43       8.111013765352e-08       8.474644996064e+43       2.636323480885e+44       3.344981230249e-06       4.943329708839e+00 
       8.111774765760e+13       1.018486956463e-25       5.065885488875e-09       1.601180925391e+22       1.330060624629e+04       1.639666611854e-10       1.078915221180e+18       2.924925765952e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       5.482764698502e+43       1.827588232834e+43       8.111013765352e-08       8.241450080431e+43       2.563780355835e+44       3.460325410602e-06       4.778552051878e+00 
       8.055387056366e+13       1.032795679714e-25       5.102265276946e-09       1.578997588273e+22       1.330060624629e+04       1.651144278137e-10       1.071415313982e+18       2.945400246314e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       5.331896685518e+43       1.777298895173e+43       8.111013765352e-08       8.014671937265e+43       2.493233383773e+44       3.575669590955e-06       4.624405211495e+00 
       7.999391317146e+13       1.047305426218e-25       5.136826075613e-09       1.557121587096e+22       1.330060624629e+04       1.662702288084e-10       1.063967541194e+18       2.966018048038e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       5.185180073988e+43       1.728393357996e+43       8.111013765352e-08       7.794133997669e+43       2.424627637002e+44       3.691013771309e-06       4.479892548635e+00 
       7.943784823382e+13       1.062019020151e-25       5.173205863684e-09       1.535548663917e+22       1.330060624629e+04       1.674341204100e-10       1.056571540411e+18       2.986780174374e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       5.042500630724e+43       1.680833543575e+43       8.111013765352e-08       7.579664551354e+43       2.357909699258e+44       3.806357951662e-06       4.344138228980e+00 
       7.888564869297e+13       1.076939325365e-25       5.209585651755e-09       1.514274619784e+22       1.330060624629e+04       1.686061592529e-10       1.049226951749e+18       3.007687635595e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       4.903747265869e+43       1.634582421956e+43       8.111013765352e-08       7.371096612945e+43       2.293027624122e+44       3.921702132015e-06       4.216369457539e+00 
       7.833728767922e+13       1.092069245947e-25       5.245965439826e-09       1.493295313919e+22       1.330060624629e+04       1.697864023677e-10       1.041933417824e+18       3.028741449044e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       4.768811946397e+43       1.589603982132e+43       8.111013765352e-08       7.168267791965e+43       2.229930894572e+44       4.037046312369e-06       4.095901758752e+00 
       7.779273850965e+13       1.107411726783e-25       5.282345227897e-09       1.472606662912e+22       1.330060624629e+04       1.709749071842e-10       1.034690583738e+18       3.049942639187e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       4.637589612007e+43       1.545863204002e+43       8.111013765352e-08       6.971020166400e+43       2.168570383653e+44       4.152390492722e-06       3.982126709898e+00 
       7.725197468684e+13       1.122969754133e-25       5.318725015968e-09       1.452204639926e+22       1.330060624629e+04       1.721717315345e-10       1.027498097058e+18       3.071292237661e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       4.509978093317e+43       1.503326031106e+43       8.111013765352e-08       6.779200159741e+43       2.108898316222e+44       4.267734673075e-06       3.874501663685e+00 
       7.671496989756e+13       1.138746356209e-25       5.356923793443e-09       1.432085273913e+22       1.330060624629e+04       1.733769336553e-10       1.020355607804e+18       3.092791283324e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       4.385878032315e+43       1.461959344105e+43       8.111013765352e-08       6.592658421409e+43       2.050868231758e+44       4.383078853428e-06       3.772541093588e+00 
       7.618169801148e+13       1.154744603767e-25       5.395122570917e-09       1.412244648841e+22       1.330060624629e+04       1.745905721908e-10       1.013262768425e+18       3.114440822308e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       4.265192805005e+43       1.421730935002e+43       8.111013765352e-08       6.411249710473e+43       1.994434948181e+44       4.498423033782e-06       3.675809270675e+00 
       7.565213307992e+13       1.170967610705e-25       5.431502358988e-09       1.392678902934e+22       1.330060624629e+04       1.758127061962e-10       1.006219233788e+18       3.136241908064e-09       9.012884037370e+43       1.077110178424e+33       5.699849702270e+33       4.147828446170e+43       1.382609482057e+43       8.111013765352e-08       6.234832782562e+43       1.939554526678e+44       4.613767214135e-06       3.583914038908e+00 
       7.512624933457e+13       1.187418534668e-25       5.469701136462e-09       1.373384227916e+22       1.330060624629e+04       1.770433951396e-10       9.992246611601e+17       3.158195601420e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       4.033693576212e+43       1.344564525404e+43       8.111013765352e-08       6.063270279898e+43       1.886184237489e+44       4.729111394488e-06       3.496501501374e+00 
       7.460402118627e+13       1.204100577662e-25       5.507899913937e-09       1.354356868274e+22       1.330060624629e+04       1.782826989055e-10       9.922787101888e+17       3.180302970630e-09       8.523697311413e+43       1.032959529521e+33       5.466213377924e+33       3.922699330007e+43       1.307566443336e+43       8.111013765352e-08       5.896428624344e+43       1.834282526641e+44       4.844455574841e-06       3.413251465627e+00 
