# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.571722920002e-04      -3.428873190168e-01      -1.084886276980e+01      -1.085004694351e+01      -3.476806062263e-01       6.613160837968e-01      -1.084627005627e+01       4.257855343027e-01       4.257875399558e-01 
       1.013427455223e-03      -3.020099500511e-01      -1.214531910666e+01      -1.214667770249e+01      -3.083798576307e-01       6.609816116789e-01      -1.214242322704e+01       4.252133142067e-01       4.252155909103e-01 
       1.072524038191e-03      -2.372426945909e-01      -1.358353630067e+01      -1.358508479710e+01      -2.426749951423e-01       5.493704740730e-01      -1.358029948179e+01       4.245985430015e-01       4.246013681346e-01 
       1.134453510456e-03      -1.623506338093e-01      -1.517406201815e+01      -1.517581597668e+01      -1.648770581913e-01       3.351022580718e-01      -1.517044680450e+01       4.239404418497e-01       4.239437302758e-01 
       1.199183801970e-03      -9.855715100867e-02      -1.692713220490e+01      -1.692910759797e+01      -9.703325986532e-02       4.963254088744e-02      -1.692310316733e+01       4.232386773265e-01       4.232420522619e-01 
       1.237436309153e-03      -7.484490075902e-02      -1.800640035413e+01      -1.800850993437e+01      -7.079837691979e-02      -1.255597429989e-01      -1.800211935130e+01       4.228177621945e-01       4.228209699624e-01 
       1.266660558409e-03      -6.489603551876e-02      -1.885251031062e+01      -1.885472421688e+01      -5.894981808651e-02      -2.529965628820e-01      -1.884803321991e+01       4.224932452926e-01       4.224962334052e-01 
       1.336809238052e-03      -6.677671153779e-02      -2.095934665712e+01      -2.096181824027e+01      -5.654985082093e-02      -5.031713233419e-01      -2.095438480234e+01       4.217043716184e-01       4.217066405879e-01 
       1.409537868692e-03      -8.991566187860e-02      -2.325606429910e+01      -2.325881602235e+01      -7.590200113421e-02      -6.300608273101e-01      -2.325057383066e+01       4.208724774662e-01       4.208739975923e-01 
       1.484740239600e-03      -1.059072603285e-01      -2.575027482712e+01      -2.575333388616e+01      -8.913234324839e-02      -5.812889996855e-01      -2.574420280515e+01       4.199982233941e-01       4.199992618359e-01 
