#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       9.151264894829e-01       2.230120844656e-06      -1.168594173413e+00       2.669605094867e-07       1.059266506431e-12       2.648166266078e-12       5.910921326426e-21       5.296332532156e-13      -8.764456300597e-01       2.669605094867e-07       5.846364318729e-01       7.078514973530e-01      -1.168594173413e+00       2.669604995210e-07       3.256494601861e-08      -8.764456300597e-01       2.669605307242e-07      -1.168594173413e+00       2.669604996057e-07       3.170287667657e-08       3.333333333333e-01 
       9.451019907390e-01       2.303280607361e-06      -1.168752572541e+00       2.757290898776e-07       1.167015842309e-12       2.917539605773e-12       6.946460946147e-21       5.835079211547e-13      -8.765644294058e-01       2.757290898776e-07       5.847485820808e-01       7.078119002822e-01      -1.168752572541e+00       2.757290788991e-07       3.473393032633e-08      -8.765644294058e-01       2.757291132694e-07      -1.168752572541e+00       2.757290790119e-07       3.371501051883e-08       3.333333333333e-01 
       1.008547386034e+00       2.458151921918e-06      -1.169093532976e+00       2.942949263796e-07       1.418726374300e-12       3.546815935751e-12       9.618541596803e-21       7.093631871502e-13      -8.768201497318e-01       2.942949263796e-07       5.849623254943e-01       7.077266662011e-01      -1.169093532976e+00       2.942949130353e-07       3.955597380431e-08      -8.768201497318e-01       2.942949548010e-07      -1.169093532976e+00       2.942949132241e-07       3.817240750305e-08       3.333333333333e-01 
       1.071992781328e+00       2.613054738728e-06      -1.169435541404e+00       3.128680746972e-07       1.704333796136e-12       4.260834490340e-12       1.305704243636e-20       8.521668980680e-13      -8.770766560528e-01       3.128680746972e-07       5.851512556913e-01       7.076411705143e-01      -1.169435541404e+00       3.128680586690e-07       4.469219210769e-08      -8.770766560528e-01       3.128681088213e-07      -1.169435541404e+00       3.128680589584e-07       4.289737089715e-08       3.333333333333e-01 
       1.135438176623e+00       2.767989057789e-06      -1.169773741020e+00       3.314472071229e-07       2.025990743105e-12       5.064976857762e-12       1.741643804879e-20       1.012995371552e-12      -8.773303057648e-01       3.314472071229e-07       5.853218345286e-01       7.075566274234e-01      -1.169773741020e+00       3.314471880725e-07       5.014269582304e-08      -8.773303057648e-01       3.314472476648e-07      -1.169773741020e+00       3.314471884901e-07       4.788730826708e-08       3.333333333333e-01 
       1.198883571917e+00       2.922954879102e-06      -1.170105622357e+00       3.500313914021e-07       2.385852191528e-12       5.964630478821e-12       2.287077608774e-20       1.192926095764e-12      -8.775792167677e-01       3.500313914022e-07       5.854786114549e-01       7.074736642952e-01      -1.170105622357e+00       3.500313689708e-07       5.590757885507e-08      -8.775792167677e-01       3.500314391191e-07      -1.170105622357e+00       3.500313695475e-07       5.313963693802e-08       3.333333333333e-01 
       1.262328967212e+00       3.077952202668e-06      -1.170430028289e+00       3.686199621216e-07       2.786075445161e-12       6.965188612903e-12       2.961486519949e-20       1.393037722581e-12      -8.778225212171e-01       3.686199621216e-07       5.856248489324e-01       7.073925704113e-01      -1.170430028289e+00       3.686199359305e-07       6.198692173771e-08      -8.778225212171e-01       3.686200178129e-07      -1.170430028289e+00       3.686199367004e-07       5.865178645439e-08       3.333333333333e-01 
       1.325774362506e+00       3.232981028485e-06      -1.170746638731e+00       3.872124585847e-07       3.228820301426e-12       8.072050753565e-12       3.786546828499e-20       1.614410150713e-12      -8.780599790483e-01       3.872124585847e-07       5.857629116057e-01       7.073134257932e-01      -1.170746638731e+00       3.872124282347e-07       6.838079441310e-08      -8.780599790483e-01       3.872125230918e-07      -1.170746638731e+00       3.872124292357e-07       6.442120274216e-08       3.333333333333e-01 
       1.436946764389e+00       3.504706758802e-06      -1.171283045433e+00       4.197997221619e-07       4.113676960021e-12       1.028419240005e-11       5.669264260790e-20       2.056838480011e-12      -8.784622840747e-01       4.197997221620e-07       5.859901388062e-01       7.071793390707e-01      -1.171283045433e+00       4.197996835005e-07       8.034309847439e-08      -8.784622840747e-01       4.197998042717e-07      -1.171283045433e+00       4.197996850090e-07       7.514339833272e-08       3.333333333333e-01 
       1.548119166271e+00       3.776529213367e-06      -1.171797870807e+00       4.523968421277e-07       5.147381393572e-12       1.286845348393e-11       8.236926488592e-20       2.573690696786e-12      -8.788484031052e-01       4.523968421277e-07       5.862038652101e-01       7.070506488878e-01      -1.171797870807e+00       4.523967937574e-07       9.327162790092e-08      -8.788484031052e-01       4.523969447780e-07      -1.171797870807e+00       4.523967959219e-07       8.663424082498e-08       3.333333333333e-01 
       1.659291568153e+00       4.048448392181e-06      -1.172293786111e+00       4.850031295833e-07       6.341606060327e-12       1.585401515082e-11       1.166190823674e-19       3.170803030164e-12      -8.792203395831e-01       4.850031295833e-07       5.864080717928e-01       7.069266874306e-01      -1.172293786111e+00       4.850030699970e-07       1.071666653748e-07      -8.792203395832e-01       4.850032559375e-07      -1.172293786111e+00       4.850030729891e-07       9.888045967871e-08       3.333333333333e-01 
       1.770463970036e+00       4.320464295243e-06      -1.172773406528e+00       5.176181670620e-07       7.708045506463e-12       1.927011376616e-11       1.614352072170e-19       3.854022753231e-12      -8.795800548962e-01       5.176181670621e-07       5.866052957023e-01       7.068068009036e-01      -1.172773406528e+00       5.176180946427e-07       1.220284797947e-07      -8.795800548962e-01       5.176183205086e-07      -1.172773406528e+00       5.176180986580e-07       1.118690041583e-07       3.333333333333e-01 
       1.881636371918e+00       4.592576922553e-06      -1.173239046451e+00       5.502416853637e-07       9.258416119211e-12       2.314604029803e-11       2.191001723860e-19       4.629208059606e-12      -8.799292848381e-01       5.502416853638e-07       5.867972030084e-01       7.066904107090e-01      -1.173239046451e+00       5.502415983843e-07       1.378573271735e-07      -8.799292848382e-01       5.502418695162e-07      -1.173239046451e+00       5.502416036441e-07       1.255870395276e-07       3.333333333333e-01 
       1.992808773800e+00       4.864786274111e-06      -1.173692730245e+00       5.828735293265e-07       1.100445652385e-11       2.751114130962e-11       2.922060972057e-19       5.502228261923e-12      -8.802695476840e-01       5.828735293266e-07       5.869849008927e-01       7.065770107555e-01      -1.173692730245e+00       5.828734259497e-07       1.546534541655e-07      -8.802695476841e-01       5.828737480229e-07      -1.173692730245e+00       5.828734327025e-07       1.400219502057e-07       3.333333333333e-01 
       2.103981175683e+00       5.137092349918e-06      -1.174136118218e+00       6.155135760143e-07       1.295792679618e-11       3.239481699045e-11       3.836749216359e-19       6.478963398089e-12      -8.806020886638e-01       6.155135760144e-07       5.871691507378e-01       7.064661859668e-01      -1.174136118218e+00       6.155134542923e-07       1.724171037094e-07      -8.806020886640e-01       6.155138333171e-07      -1.174136118218e+00       6.155134628150e-07       1.551613372648e-07       3.333333333333e-01 
       2.329044156629e+00       5.688658528321e-06      -1.175007694392e+00       6.816165044547e-07       1.759606976998e-11       4.399017442496e-11       6.388936188792e-19       8.798034884992e-12      -8.812557707940e-01       6.816165044548e-07       5.875335934293e-01       7.062483405792e-01      -1.175007694392e+00       6.816163391763e-07       2.113417071261e-07      -8.812557707942e-01       6.816168532718e-07      -1.175007694392e+00       6.816163522548e-07       1.879171670088e-07       3.333333333333e-01 
       2.554107137576e+00       6.240621121213e-06      -1.175851332585e+00       7.477521476870e-07       2.323067568785e-11       5.807668921962e-11       1.015104188581e-18       1.161533784392e-11      -8.818884994389e-01       7.477521476872e-07       5.878886078487e-01       7.060374846470e-01      -1.175851332585e+00       7.477519294957e-07       2.542345694403e-07      -8.818884994392e-01       7.477526074431e-07      -1.175851332585e+00       7.477519486546e-07       2.234121101454e-07       3.333333333333e-01 
       2.779170118523e+00       6.792980128593e-06      -1.176673000290e+00       8.139199464271e-07       2.996012335319e-11       7.490030838299e-11       1.551162975619e-18       1.498006167660e-11      -8.825047502174e-01       8.139199464275e-07       5.882356236894e-01       7.058321262997e-01      -1.176673000290e+00       8.139196650427e-07       3.010976507343e-07      -8.825047502178e-01       8.139205383991e-07      -1.176673000290e+00       8.139196920946e-07       2.615512105692e-07       3.333333333333e-01 
       3.004233099470e+00       7.345735550462e-06      -1.177476831006e+00       8.801193082366e-07       3.788314336186e-11       9.470785840464e-11       2.293558021374e-18       1.894157168093e-11      -8.831076232545e-01       8.801193082372e-07       5.885754494232e-01       7.056312321648e-01      -1.177476831006e+00       8.801189524522e-07       3.519328660043e-07      -8.831076232550e-01       8.801200555490e-07      -1.177476831006e+00       8.801189895185e-07       3.022428263351e-07       3.333333333333e-01 
       3.229296080417e+00       7.898887386819e-06      -1.178265735637e+00       9.463495847991e-07       4.709881363123e-11       1.177470340781e-10       3.297121542481e-18       2.354940681562e-11      -8.836993017281e-01       9.463495848000e-07       5.889085788031e-01       7.054340745185e-01      -1.178265735637e+00       9.463491424780e-07       4.067420806200e-07      -8.836993017289e-01       9.463505124199e-07      -1.178265735637e+00       9.463491920100e-07       3.453985071323e-07       3.333333333333e-01 
       3.454359061364e+00       8.452435637664e-06      -1.179041843461e+00       1.012610111227e-06       5.770655722430e-11       1.442663930608e-10       4.625748904261e-18       2.885327861215e-11      -8.842813825959e-01       1.012610111228e-06       5.892353271821e-01       7.052401210439e-01      -1.179041843461e+00       1.012609569299e-06       4.655271202670e-07      -8.842813825969e-01       1.012611245963e-06      -1.179041843461e+00       1.012609634098e-06       3.909328983577e-07       3.333333333333e-01 
       3.679422042311e+00       9.006380302998e-06      -1.179806660897e+00       1.078900126796e-06       6.980613389325e-11       1.745153347331e-10       6.353123439244e-18       3.490306694663e-11      -8.848549956729e-01       1.078900126797e-06       5.895559296338e-01       7.050489951383e-01      -1.179806660896e+00       1.078899471255e-06       5.282897761959e-07      -8.848549956742e-01       1.078901497288e-06      -1.179806660897e+00       1.078899554490e-06       4.387636216545e-07       3.333333333333e-01 
       3.964369189830e+00       9.708285771671e-06      -1.180760580312e+00       1.162869550945e-06       8.742155237507e-11       2.185538809377e-10       9.244783864484e-18       4.371077618754e-11      -8.855704352342e-01       1.162869550947e-06       5.899532876999e-01       7.048106217485e-01      -1.180760580311e+00       1.162868730003e-06       6.134608288848e-07      -8.855704352359e-01       1.162871263868e-06      -1.180760580312e+00       1.162868841734e-06       5.024912723323e-07       3.333333333333e-01 
