# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       2.826988380429e-03       1.784939474154e-01      -8.956150511109e+01      -8.957658810003e+01       1.698834535521e-01       2.133768285437e-01      -8.954387717488e+01       4.029457254657e-01       4.029462888003e-01 
       2.925905335651e-03       2.223070426633e-01      -9.562523826268e+01      -9.564179683365e+01       1.083013504609e-01       2.381973475213e-01      -9.560680176619e+01       4.016304946105e-01       4.016310805742e-01 
       3.025544636276e-03       2.307478213589e-01      -1.019104920468e+02      -1.019286422726e+02      -7.073778637550e-03       2.341755256901e-01      -1.018912836867e+02       4.003023102401e-01       4.003027864109e-01 
       3.125851842553e-03       2.109308011949e-01      -1.084153212273e+02      -1.084351916582e+02      -1.039136067534e-01       2.133444726766e-01      -1.083953783182e+02       3.989624107939e-01       3.989627616702e-01 
       3.226777131995e-03       1.985785816430e-01      -1.151376535014e+02      -1.151593859875e+02      -1.340761422941e-01       1.990404963090e-01      -1.151170121662e+02       3.976119168872e-01       3.976122239075e-01 
       3.328274924875e-03       2.178012931435e-01      -1.220753180664e+02      -1.220990673572e+02      -1.114580204918e-01       2.072475971802e-01      -1.220540228127e+02       3.962519176041e-01       3.962522649097e-01 
       3.430303527867e-03       2.546092941366e-01      -1.292260657262e+02      -1.292519977072e+02      -8.913488074244e-02       2.347857628776e-01      -1.292041802235e+02       3.948834862313e-01       3.948838843989e-01 
       3.532824798954e-03       2.741849983002e-01      -1.365875734338e+02      -1.366158640106e+02      -1.060044816566e-01       2.632608490629e-01      -1.365651821522e+02       3.935076171490e-01       3.935080087069e-01 
       3.635803835260e-03       2.621287862602e-01      -1.441574755511e+02      -1.441883074348e+02      -1.536584178444e-01       2.748136005493e-01      -1.441346717121e+02       3.921252391670e-01       3.921255676560e-01 
       3.739208684334e-03       2.416110153686e-01      -1.519333513287e+02      -1.519669135925e+02      -1.912127828211e-01       2.663860257512e-01      -1.519102254022e+02       3.907371499946e-01       3.907374167902e-01 
