#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       1.501335070390e-01       3.240081391693e-07      -1.202533339258e+00       4.511909556571e-04       3.728109741945e-11       9.320274354862e-11       4.331947890082e-19       1.864054870972e-11      -9.019000044431e-01       4.511909556571e-04       6.011189244876e-01       6.993779554643e-01      -1.202533339031e+00       4.511864334321e-04       9.032134097625e-06      -9.019000047959e-01       4.512003520769e-04 
       1.622945995195e-01       3.502611223245e-07      -1.202563283990e+00       4.877328105000e-04       4.709578117727e-11       1.177394529432e-10       6.395118124621e-19       2.354789058863e-11      -9.019224629928e-01       4.877328105000e-04       6.011184541212e-01       6.993723723379e-01      -1.202563283681e+00       4.877270977571e-04       1.055454703080e-05      -9.019224634745e-01       4.877446798768e-04 
       1.744556920000e-01       3.765152628880e-07      -1.202594148248e+00       5.242736773825e-04       5.849774006561e-11       1.462443501640e-10       9.178822178347e-19       2.924887003281e-11      -9.019456111863e-01       5.242736773825e-04       6.011179299924e-01       6.993667074578e-01      -1.202594147836e+00       5.242665815888e-04       1.219545387762e-05      -9.019456118293e-01       5.242884194131e-04 
       1.866167844805e-01       4.027705608597e-07      -1.202625939934e+00       5.608135245078e-04       7.160601106525e-11       1.790150276631e-10       1.285723603455e-18       3.580300553262e-11      -9.019694549505e-01       5.608135245079e-04       6.011173502917e-01       6.993609588444e-01      -1.202625939394e+00       5.608048386916e-04       1.395485013293e-05      -9.019694557924e-01       5.608315688111e-04 
       1.987778769610e-01       4.290270162397e-07      -1.202658659261e+00       5.973523169092e-04       8.653964272374e-11       2.163491068094e-10       1.763059932989e-18       4.326982136187e-11      -9.019939944460e-01       5.973523169092e-04       6.011167149167e-01       6.993551264399e-01      -1.202658658566e+00       5.973418196587e-04       1.583273106217e-05      -9.019939955298e-01       5.973741230222e-04 
       2.109389694416e-01       4.552846290279e-07      -1.202692295154e+00       6.338900133382e-04       1.034176940124e-10       2.585442350311e-10       2.372703780220e-18       5.170884700622e-11      -9.020192213659e-01       6.338900133382e-04       6.011160262972e-01       6.993492130090e-01      -1.202692294273e+00       6.338774688004e-04       1.782909170273e-05      -9.020192227401e-01       6.339160707123e-04 
       2.231000619221e-01       4.815433992243e-07      -1.202726872854e+00       6.704265926915e-04       1.223592381612e-10       3.058980954031e-10       3.140438757483e-18       6.117961908061e-11      -9.020451546408e-01       6.704265926915e-04       6.011152789336e-01       6.993432122369e-01      -1.202726871751e+00       6.704117505705e-04       1.994392691692e-05      -9.020451563604e-01       6.704574206882e-04 
       2.353393967372e-01       5.079722823414e-07      -1.202762622859e+00       7.071970795411e-04       1.436265906056e-10       3.590664765140e-10       4.102018157030e-18       7.181329530281e-11      -9.020719671444e-01       7.071970795412e-04       6.011144675471e-01       6.993370849356e-01      -1.202762621493e+00       7.071796577232e-04       2.219198363498e-05      -9.020719692735e-01       7.072332634985e-04 
       2.475787315523e-01       5.344023378078e-07      -1.202799287078e+00       7.439663406607e-04       1.672260939710e-10       4.180652349276e-10       5.285954741901e-18       8.361304698552e-11      -9.020994653088e-01       7.439663406608e-04       6.011136050908e-01       6.993308790937e-01      -1.202799285405e+00       7.439460562621e-04       2.456003330276e-05      -9.020994679166e-01       7.440084674199e-04 
       2.598180663674e-01       5.608335656234e-07      -1.202836905838e+00       7.807343656536e-04       1.932791692302e-10       4.831979230754e-10       6.728770908373e-18       9.663958461509e-11      -9.021276793785e-01       7.807343656537e-04       6.011126828977e-01       6.993245846247e-01      -1.202836903808e+00       7.807109210633e-04       2.704807002706e-05      -9.021276825414e-01       7.807830525344e-04 
       2.720574011825e-01       5.872659657883e-07      -1.202875470382e+00       8.175011140650e-04       2.219072412960e-10       5.547681032400e-10       8.470788446775e-18       1.109536206480e-10      -9.021566027865e-01       8.175011140652e-04       6.011117028627e-01       6.993182037123e-01      -1.202875467941e+00       8.174741969433e-04       2.965608771940e-05      -9.021566065887e-01       8.175570088616e-04 
       2.842967359976e-01       6.136995383025e-07      -1.202914960970e+00       8.542665360995e-04       2.532317412928e-10       6.330793532321e-10       1.055631717189e-17       1.266158706464e-10      -9.021862207278e-01       8.542665360997e-04       6.011106692104e-01       6.993117412863e-01      -1.202914958060e+00       8.542358193767e-04       3.238408010918e-05      -9.021862252616e-01       8.543303170766e-04 
       2.965360708126e-01       6.401342831659e-07      -1.202955393078e+00       8.910306070596e-04       2.873741159991e-10       7.184352899977e-10       1.303384398778e-17       1.436870579995e-10      -9.022165448083e-01       8.910306070599e-04       6.011095785679e-01       6.993051934726e-01      -1.202955389633e+00       8.909957489348e-04       3.523204071025e-05      -9.022165501747e-01       8.911029829476e-04 
       3.087754056277e-01       6.665702003786e-07      -1.202996773558e+00       9.277932971663e-04       3.244558201557e-10       8.111395503893e-10       1.595622139105e-17       1.622279100779e-10      -9.022475801682e-01       9.277932971667e-04       6.011084294535e-01       6.992985585523e-01      -1.202996769507e+00       9.277539411063e-04       3.819996280651e-05      -9.022475864768e-01       9.278750071575e-04 
       3.257853510782e-01       7.033121756982e-07      -1.203055828499e+00       9.788828529410e-04       3.811001529441e-10       9.527503823603e-10       2.086498567893e-17       1.905500764721e-10      -9.022918713740e-01       9.788828529415e-04       6.011067417542e-01       6.992892002279e-01      -1.203055823479e+00       9.788366260389e-04       4.252391096744e-05      -9.022918791915e-01       9.789788199262e-04 
       3.427952965286e-01       7.400564153869e-07      -1.203116708861e+00       1.029969573146e-03       4.439824065991e-10       1.109956016498e-09       2.691399159797e-17       2.219912032996e-10      -9.023375316460e-01       1.029969573146e-03       6.011049424857e-01       6.992796752169e-01      -1.203116702709e+00       1.029915718754e-03       4.707952967618e-05      -9.023375412282e-01       1.030081365431e-03 
