# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       8.111774765760e+13       1.190545646732e-25       5.922629497945e-09       1.369776868216e+22       1.445351351216e+04       1.781794234865e-10       1.172436461845e+18       3.419049812640e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       5.496453132041e+43       1.832151044014e+43       1.352844775532e+43       4.509482585106e+42       2.778134729041e-08       1.876288668699e+44       2.119260898331e-06       4.778552051876e+00 
       8.055387056366e+13       1.207271622523e-25       5.962647264823e-09       1.350799486234e+22       1.445351351216e+04       1.794266794510e-10       1.164286456649e+18       3.442983161328e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       5.345208457485e+43       1.781736152495e+43       1.315618847668e+43       4.385396158894e+42       2.778134729041e-08       1.824659252010e+44       2.189902928275e-06       4.624405211493e+00 
       7.999391317146e+13       1.224232581548e-25       6.004484021105e-09       1.332085023736e+22       1.445351351216e+04       1.806826662071e-10       1.156193104914e+18       3.467084043457e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       5.198125548896e+43       1.732708516299e+43       1.279417257356e+43       4.264724191187e+42       2.778134729041e-08       1.774450510461e+44       2.260544958219e-06       4.479892548634e+00 
       7.943784823382e+13       1.241431825086e-25       6.046320777386e-09       1.313629838140e+22       1.445351351216e+04       1.819474448706e-10       1.148156012824e+18       3.491353631761e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       5.055089887887e+43       1.685029962629e+43       1.244211818128e+43       4.147372727093e+42       2.778134729041e-08       1.725623351652e+44       2.331186988163e-06       4.344138228978e+00 
       7.888564869297e+13       1.258872700796e-25       6.089976523072e-09       1.295430337331e+22       1.445351351216e+04       1.832210769847e-10       1.140174789299e+18       3.515793107183e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       4.915990107251e+43       1.638663369084e+43       1.209975119117e+43       4.033250397056e+42       2.778134729041e-08       1.678139758877e+44       2.401829018108e-06       4.216369457538e+00 
       7.833728767921e+13       1.276558603370e-25       6.131813279353e-09       1.277482978960e+22       1.445351351216e+04       1.845036245235e-10       1.132249045977e+18       3.540403658933e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       4.780717904245e+43       1.593572634748e+43       1.176680503714e+43       3.922268345713e+42       2.778134729041e-08       1.631962761532e+44       2.472471048052e-06       4.095901758751e+00 
       7.779273850965e+13       1.294492975188e-25       6.175469025038e-09       1.259784269754e+22       1.445351351216e+04       1.857951498952e-10       1.124378397197e+18       3.565186484546e-09       1.007709405738e+44       1.171153381058e+33       6.197507352594e+33       4.649167956269e+43       1.549722652090e+43       1.144302048815e+43       3.814340162716e+42       2.778134729041e-08       1.587056406320e+44       2.543113077996e-06       3.982126709897e+00 
       7.725197468684e+13       1.312679306997e-25       6.219124770723e-09       1.242330764839e+22       1.445351351216e+04       1.870957159445e-10       1.116562459977e+18       3.590142789937e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       4.521237838862e+43       1.507079279621e+43       1.112814544635e+43       3.709381815451e+42       2.778134729041e-08       1.543385729266e+44       2.613755107940e-06       3.874501663683e+00 
       7.671496989756e+13       1.331121138581e-25       6.260961527005e-09       1.225119067066e+22       1.445351351216e+04       1.884053859561e-10       1.108800853999e+18       3.615273789467e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       4.396827945955e+43       1.465609315318e+43       1.082193475084e+43       3.607311583612e+42       2.778134729041e-08       1.500916728489e+44       2.684397137884e-06       3.772541093586e+00 
       7.618169801148e+13       1.349822059457e-25       6.306436262093e-09       1.208145826352e+22       1.445351351216e+04       1.897242236578e-10       1.101093201588e+18       3.640580705993e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       4.275841412314e+43       1.425280470771e+43       1.052414998671e+43       3.508049995570e+42       2.778134729041e-08       1.459616337732e+44       2.755039167829e-06       3.675809270674e+00 
       7.565213307992e+13       1.368785709570e-25       6.350092007779e-09       1.191407739027e+22       1.445351351216e+04       1.910522932234e-10       1.093439127694e+18       3.666064770935e-09       9.012884037369e+43       1.077110178424e+33       5.699849702270e+33       4.158184038127e+43       1.386061346042e+43       1.023455929950e+43       3.411519766500e+42       2.778134729041e-08       1.419452400612e+44       2.825681197773e-06       3.583914038907e+00 
       7.512624933457e+13       1.388015780003e-25       6.393747753464e-09       1.174901547190e+22       1.445351351216e+04       1.923896592759e-10       1.085838259875e+18       3.691727224331e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       4.043764215656e+43       1.347921405219e+43       9.952937214624e+42       3.317645738208e+42       2.778134729041e-08       1.380393645590e+44       2.896323227717e-06       3.496501501373e+00 
       7.460402118627e+13       1.407516013697e-25       6.439222488552e-09       1.158624038080e+22       1.445351351216e+04       1.937363868909e-10       1.078290228277e+18       3.717569314901e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       3.932492857912e+43       1.310830952637e+43       9.679064461825e+42       3.226354820608e+42       2.778134729041e-08       1.342409661616e+44       2.966965257661e-06       3.413251465626e+00 
       7.408542322370e+13       1.427290206173e-25       6.484697223641e-09       1.142572043441e+22       1.445351351216e+04       1.950925415991e-10       1.070794665618e+18       3.743592300105e-09       8.289152634162e+43       1.011567563292e+33       5.353011409562e+33       3.824283329294e+43       1.274761109765e+43       9.412727804463e+42       3.137575934821e+42       2.778134729041e-08       1.305470874454e+44       3.037607287606e-06       3.333873524565e+00 
       7.357043021222e+13       1.447342206279e-25       6.530171958730e-09       1.126742438917e+22       1.445351351216e+04       1.964581893903e-10       1.063351207168e+18       3.769797446205e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       3.719051378133e+43       1.239683792711e+43       9.153719873481e+42       3.051239957827e+42       2.778134729041e-08       1.269548523657e+44       3.108249317550e-06       3.258103671734e+00 
       7.305901709257e+13       1.467675916935e-25       6.575646693818e-09       1.111132143434e+22       1.445351351216e+04       1.978333967160e-10       1.055959490733e+18       3.796186028329e-09       7.839247429430e+43       9.701035002624e+32       5.133591955499e+33       3.616715071095e+43       1.205571690365e+43       8.901839005950e+42       2.967279668650e+42       2.778134729041e-08       1.234614640173e+44       3.178891347494e-06       3.185701367917e+00 
       7.255115897971e+13       1.488295295892e-25       6.621121428907e-09       1.095738118606e+22       1.445351351216e+04       1.992182304930e-10       1.048619156636e+18       3.822759330527e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       3.517194729386e+43       1.172398243129e+43       8.656889088056e+42       2.885629696019e+42       2.778134729041e-08       1.200642024567e+44       3.249533377438e-06       3.116446990354e+00 
