#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       4.764609569010e-01       1.028782300717e-06      -1.202355090285e+00       1.430940573336e-05       1.191989792464e-11       2.979974481160e-11       1.396361181771e-19       5.959948962320e-12      -9.017663177140e-01       1.430940573336e-05       6.012526357582e-01       6.994123638372e-01      -9.017663177176e-01       1.430943573625e-05      -1.202355098081e+00       1.430939122731e-05       9.100635989954e-07       3.333333333333e-01 
       5.083697239435e-01       1.097743707820e-06      -1.202403611695e+00       1.526742907948e-05       1.448008146934e-11       3.620020367335e-11       1.931306405851e-19       7.240040734670e-12      -9.018027087711e-01       1.526742907948e-05       6.012530339426e-01       6.994003907782e-01      -9.018027087757e-01       1.526746552001e-05      -1.202403620568e+00       1.526741145793e-05       1.036027772493e-06       3.333333333333e-01 
       5.402784909860e-01       1.166713083145e-06      -1.202451955022e+00       1.622541344451e-05       1.738306281717e-11       4.345765704292e-11       2.618983113423e-19       8.691531408584e-12      -9.018389662662e-01       1.622541344451e-05       6.012534897250e-01       6.993884724295e-01      -9.018389662721e-01       1.622545718295e-05      -1.202451965043e+00       1.622539229035e-05       1.170152085621e-06       3.333333333333e-01 
       6.052005694158e-01       1.307063856087e-06      -1.202550208286e+00       1.817442724771e-05       2.443740738527e-11       6.109351846318e-11       4.620904598727e-19       1.221870369264e-11      -9.019126562147e-01       1.817442724771e-05       6.012545092562e-01       6.993642813321e-01      -9.019126562240e-01       1.817448871390e-05      -1.202550220859e+00       1.817439750931e-05       1.468233329587e-06       3.333333333333e-01 
       6.701226478456e-01       1.447447614766e-06      -1.202649161161e+00       2.012329741177e-05       3.318211258808e-11       8.295528147021e-11       7.694634673662e-19       1.659105629404e-11      -9.019868708708e-01       2.012329741194e-05       6.012554814361e-01       6.993399575075e-01      -9.019868708848e-01       2.012338084314e-05      -1.202649176572e+00       2.012325703244e-05       1.800089358359e-06       3.333333333333e-01 
       7.350447262754e-01       1.587864359185e-06      -1.202748435290e+00       2.207201876677e-05       4.379922501436e-11       1.094980625359e-10       1.222282209002e-18       2.189961250718e-11      -9.020613264678e-01       2.207201876717e-05       6.012564367790e-01       6.993155955421e-01      -9.020613264881e-01       2.207212885375e-05      -1.202748453829e+00       2.207196546839e-05       2.165718053391e-06       3.333333333333e-01 
       7.999668047052e-01       1.728314089343e-06      -1.202847603491e+00       2.402058277225e-05       5.647091680084e-11       1.411772920021e-10       1.867017729128e-18       2.823545840042e-11      -9.021357026186e-01       2.402058277281e-05       6.012574371432e-01       6.992913022296e-01      -9.021357026470e-01       2.402072465799e-05      -1.202847625444e+00       2.402051405511e-05       2.565117679645e-06       3.333333333333e-01 
       8.648888831349e-01       1.868796805239e-06      -1.202946749967e+00       2.596898912566e-05       7.137950923998e-11       1.784487731000e-10       2.759154288988e-18       3.568975461999e-11      -9.022100624755e-01       2.596898912629e-05       6.012584749519e-01       6.992670565157e-01      -9.022100625143e-01       2.596916840572e-05      -1.202946775622e+00       2.596890226832e-05       2.998285423851e-06       3.333333333333e-01 
       9.298109615647e-01       2.009312506874e-06      -1.203046134786e+00       2.791724213741e-05       8.870747627606e-11       2.217686906901e-10       3.963998317852e-18       4.435373813803e-11      -9.022846010893e-01       2.791724213809e-05       6.012595100214e-01       6.992427933794e-01      -9.022846011411e-01       2.791746485946e-05      -1.203046164429e+00       2.791713419654e-05       3.465217828910e-06       3.333333333333e-01 
       9.947330399945e-01       2.149861194248e-06      -1.203145851757e+00       2.986534372843e-05       1.086374295586e-10       2.715935738965e-10       5.557488661312e-18       5.431871477931e-11      -9.023593888175e-01       2.986534372921e-05       6.012605215770e-01       6.992184893644e-01      -9.023593888853e-01       2.986561639197e-05      -1.203145885675e+00       2.986521153867e-05       3.965911872215e-06       3.333333333333e-01 
       1.095159622894e+00       2.367337947889e-06      -1.203300691365e+00       3.287852060346e-05       1.450178337338e-10       3.625445843344e-10       8.995394113033e-18       7.250891686688e-11      -9.024755185236e-01       3.287852060449e-05       6.012620445439e-01       6.991808296543e-01      -9.024755186233e-01       3.287888437494e-05      -1.203300732460e+00       3.287834415079e-05       4.806923859975e-06       3.333333333333e-01 
       1.195586205794e+00       2.584893630922e-06      -1.203455965455e+00       3.589132414981e-05       1.887387007195e-10       4.718467517989e-10       1.395804444013e-17       9.436935035977e-11      -9.025919740912e-01       3.589132415117e-05       6.012635541782e-01       6.991431621855e-01      -9.025919742327e-01       3.589179733156e-05      -1.203456014411e+00       3.589109450520e-05       5.728706015819e-06       3.333333333333e-01 
       1.296012788693e+00       2.802528243348e-06      -1.203611656640e+00       3.890375120291e-05       2.404778612905e-10       6.011946532262e-10       2.090515344477e-17       1.202389306452e-10      -9.027087424803e-01       3.890375120459e-05       6.012650494982e-01       6.991054912930e-01      -9.027087426757e-01       3.890435376535e-05      -1.203611714139e+00       3.890345861331e-05       6.731248415788e-06       3.333333333333e-01 
       1.396439371593e+00       3.020241785165e-06      -1.203767924138e+00       4.191580447646e-05       3.009139706194e-10       7.522849265484e-10       3.038113801331e-17       1.504569853097e-10      -9.028259431038e-01       4.191580447843e-05       6.012665052148e-01       6.990677771588e-01      -9.028259433671e-01       4.191655805642e-05      -1.203767990860e+00       4.191543836394e-05       7.814539581886e-06       3.333333333333e-01 
       1.496865954492e+00       3.238034256374e-06      -1.203924852381e+00       4.492748561535e-05       3.707264801855e-10       9.268162004638e-10       4.302241137425e-17       1.853632400928e-10      -9.029436392854e-01       4.492748561761e-05       6.012679054967e-01       6.990299986616e-01      -9.029436396329e-01       4.492841351432e-05      -1.203924929003e+00       4.492703457620e-05       8.978568285965e-06       3.333333333333e-01 
       1.597292537392e+00       3.455905656975e-06      -1.204082354466e+00       4.793879024352e-05       4.505955872060e-10       1.126488968015e-09       5.956469924490e-17       2.252977936030e-10      -9.030617658493e-01       4.793879024610e-05       6.012692641147e-01       6.989921775147e-01      -9.030617662997e-01       4.793991742592e-05      -1.204082441667e+00       4.793824204742e-05       1.022332423730e-05       3.333333333333e-01 
       1.697719120291e+00       3.673855986968e-06      -1.204240347768e+00       5.094971322652e-05       5.412022550386e-10       1.353005637596e-09       8.085038954015e-17       2.706011275193e-10      -9.031802608262e-01       5.094971322948e-05       6.012705950931e-01       6.989543343625e-01      -9.031802614010e-01       5.095106631802e-05      -1.204240446222e+00       5.094905481568e-05       1.154879714877e-05       3.333333333333e-01 
       1.798145703191e+00       3.891885246352e-06      -1.204398882310e+00       5.396025468655e-05       6.432282767554e-10       1.608070691889e-09       1.078359189707e-16       3.216141383777e-10      -9.032991617323e-01       5.396025468993e-05       6.012718874815e-01       6.989164566869e-01      -9.032991624555e-01       5.396186197230e-05      -1.204398992689e+00       5.395947217480e-05       1.295497611614e-05       3.333333333333e-01 
       1.898572286090e+00       4.109993435129e-06      -1.204557993653e+00       5.697041444485e-05       7.573562335670e-10       1.893390583918e-09       1.415991751311e-16       3.786781167835e-10      -9.034184952397e-01       5.697041444869e-05       6.012731358984e-01       6.988785355836e-01      -9.034184961383e-01       5.697230586781e-05      -1.204558116627e+00       5.696949311682e-05       1.444184957578e-05       3.333333333333e-01 
       2.002869710406e+00       4.336591935610e-06      -1.204723835208e+00       6.009619141414e-05       8.894264075633e-10       2.223566018908e-09       1.851336647788e-16       4.447132037816e-10      -9.035428764058e-01       6.009619141849e-05       6.012743882842e-01       6.988391101534e-01      -9.035428775185e-01       6.009841139802e-05      -1.204723971970e+00       6.009510945220e-05       1.607144104465e-05       3.333333333333e-01 
       2.107167134722e+00       4.563275567252e-06      -1.204890267918e+00       6.322155171176e-05       1.036052778826e-09       2.590131947065e-09       2.387885696804e-16       5.180263894129e-10      -9.036677009388e-01       6.322155171667e-05       6.012755972519e-01       6.987996455974e-01      -9.036677023017e-01       6.322413619152e-05      -1.204890419187e+00       6.322029141819e-05       1.778804355462e-05       3.333333333333e-01 
       2.211464559038e+00       4.790044330053e-06      -1.205057268621e+00       6.634649199830e-05       1.198002565516e-09       2.995006413790e-09       3.042391339811e-16       5.990012827579e-10      -9.037929514658e-01       6.634649200383e-05       6.012767680648e-01       6.987601476920e-01      -9.037929531189e-01       6.634947875997e-05      -1.205057435110e+00       6.634503474358e-05       1.959164439651e-05       3.333333333333e-01 
       2.315761983354e+00       5.016898224015e-06      -1.205224865342e+00       6.947101177522e-05       1.376043937293e-09       3.440109843234e-09       3.833373581168e-16       6.880219686467e-10      -9.039186490067e-01       6.947101178142e-05       6.012778952408e-01       6.987206094158e-01      -9.039186509940e-01       6.947444045392e-05      -1.205225047764e+00       6.946933799706e-05       2.148223057070e-05       3.333333333333e-01 
       2.420059407669e+00       5.243837249138e-06      -1.205393078597e+00       7.259511045486e-05       1.570945975293e-09       3.927364938233e-09       4.781211122314e-16       7.854729876465e-10      -9.040448089480e-01       7.259511046181e-05       6.012789741209e-01       6.986810256249e-01      -9.040448113177e-01       7.259902253280e-05      -1.205393277661e+00       7.259319965714e-05       2.345978926287e-05       3.333333333333e-01 
       2.524356831985e+00       5.470861405420e-06      -1.205561878574e+00       7.571878434651e-05       1.783478599942e-09       4.458696499855e-09       5.908232686880e-16       8.917392999709e-10      -9.041714089302e-01       7.571878435428e-05       6.012800109407e-01       6.986414037580e-01      -9.041714117351e-01       7.572322315099e-05      -1.205562094984e+00       7.571661509837e-05       2.552430760901e-05       3.333333333333e-01 
       2.628654256301e+00       5.697970692863e-06      -1.205731251913e+00       7.884203058537e-05       2.014412639983e-09       5.036031599958e-09       7.238809087368e-16       1.007206319992e-09      -9.042984389346e-01       7.884203059404e-05       6.012810081815e-01       6.986017471404e-01      -9.042984422318e-01       7.884704128680e-05      -1.205731486372e+00       7.883958052020e-05       2.767577273472e-05       3.333333333333e-01 
       2.773469020953e+00       6.013448290779e-06      -1.205967397350e+00       8.317788054436e-05       2.367018056586e-09       5.917545141465e-09       9.473860714115e-16       1.183509028293e-09      -9.044755480128e-01       8.317788055443e-05       6.012823219645e-01       6.985466212639e-01      -9.044755520977e-01       8.318376366091e-05      -1.205967658028e+00       8.317500172824e-05       3.080718501218e-05       3.333333333333e-01 
       2.918283785605e+00       6.329090010798e-06      -1.206204701364e+00       8.751290067496e-05       2.758655838673e-09       6.896639596683e-09       1.223089758647e-15       1.379327919337e-09      -9.046535260233e-01       8.751290068660e-05       6.012835484418e-01       6.984914150213e-01      -9.046535310291e-01       8.751975176046e-05      -1.206204989599e+00       8.750954567102e-05       3.410615838607e-05       3.333333333333e-01 
       3.063098550257e+00       6.644895852918e-06      -1.206443153541e+00       9.184708519114e-05       3.191398009297e-09       7.978495023243e-09       1.559680310473e-15       1.595699004649e-09      -9.048323651558e-01       9.184708520459e-05       6.012846901054e-01       6.984361309756e-01      -9.048323712299e-01       9.185500471391e-05      -1.206443470658e+00       9.184320404825e-05       3.757265667118e-05       3.333333333333e-01 
       3.207913314910e+00       6.960865817141e-06      -1.206682727772e+00       9.618042699992e-05       3.667319854600e-09       9.168299636500e-09       1.966770006310e-15       1.833659927300e-09      -9.050120458293e-01       9.618042701541e-05       6.012857515128e-01       6.983807756141e-01      -9.050120531339e-01       9.618952033534e-05      -1.206683075087e+00       9.617596724896e-05       4.120664426676e-05       3.333333333333e-01 
       3.352728079562e+00       7.276999903467e-06      -1.206923420778e+00       1.005129205959e-04       4.188500012457e-09       1.047125003114e-08       2.454943617414e-15       2.094250006229e-09      -9.051925655834e-01       1.005129206137e-04       6.012867326227e-01       6.983253497166e-01      -9.051925742965e-01       1.005232980190e-04      -1.206923799596e+00       1.005078272460e-04       4.500808508826e-05       3.333333333333e-01 
       3.497542844214e+00       7.593298111894e-06      -1.207165247588e+00       1.048445619380e-04       4.757020485313e-09       1.189255121328e-08       3.035807192098e-15       2.378510242656e-09      -9.053739356906e-01       1.048445619584e-04       6.012876309942e-01       6.982698494841e-01      -9.053739460064e-01       1.048563386161e-04      -1.207165659203e+00       1.048387774732e-04       4.897694141154e-05       3.333333333333e-01 
       3.642357608866e+00       7.909760442423e-06      -1.207408218028e+00       1.091753467411e-04       5.374966575872e-09       1.343741643968e-08       3.722037048696e-15       2.687483287936e-09      -9.055561635210e-01       1.091753467645e-04       6.012884453633e-01       6.982142724177e-01      -9.055561756507e-01       1.091886427264e-04      -1.207408663719e+00       1.091688111166e-04       5.311317491455e-05       3.333333333333e-01 
       3.843298043287e+00       8.349145527656e-06      -1.207747243689e+00       1.151831794447e-04       6.318187812664e-09       1.579546953166e-08       4.874778153916e-15       3.159093906332e-09      -9.058104327666e-01       1.151831794729e-04       6.012894365015e-01       6.981370297941e-01      -9.058104477966e-01       1.151987915561e-04      -1.207747738761e+00       1.151754973350e-04       5.912966624332e-05       3.333333333333e-01 
