# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       8.697823467967e+13       9.672622059865e-26       5.158653948456e-09       1.685977057052e+22       1.395428497666e+04       1.604342169975e-10       1.213719073487e+18       2.978504778342e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       1.088908657278e+44       3.629695524261e+43       1.788244059295e+43       5.960813530985e+42       4.623070212068e-08       2.842518636905e+44       1.746894680771e-06       7.167828077817e+00 
       8.637361934426e+13       9.808512727184e-26       5.195033736527e-09       1.662618923792e+22       1.395428497666e+04       1.615572565165e-10       1.205282098795e+18       2.999354311790e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       1.058945400695e+44       3.529818002318e+43       1.739037346479e+43       5.796791154932e+42       4.623070212068e-08       2.764301685750e+44       1.834239414810e-06       6.826502931254e+00 
       8.577320689599e+13       9.946312522488e-26       5.231413524598e-09       1.639584402521e+22       1.395428497666e+04       1.626881573121e-10       1.196903772389e+18       3.020349791973e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       1.029806636359e+44       3.432688787863e+43       1.691184643802e+43       5.637282146006e+42       4.623070212068e-08       2.688237012989e+44       1.921584148848e-06       6.516207343470e+00 
       8.517696811915e+13       1.008604826712e-25       5.267793312669e-09       1.616869009802e+22       1.395428497666e+04       1.638269744133e-10       1.188583686583e+18       3.041492240516e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       1.001469676900e+44       3.338232256333e+43       1.644648693268e+43       5.482162310893e+42       4.623070212068e-08       2.614265394859e+44       2.008928882887e-06       6.232893980710e+00 
       8.458487400115e+13       1.022774715922e-25       5.304173100740e-09       1.594468324314e+22       1.395428497666e+04       1.649737632342e-10       1.180321436527e+18       3.062782686200e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       9.739124592320e+43       3.246374864107e+43       1.599393262102e+43       5.331310873674e+42       4.623070212068e-08       2.542329237241e+44       2.096273616925e-06       5.973190064847e+00 
       8.399689573103e+13       1.037143677906e-25       5.342371878214e-09       1.572377985989e+22       1.395428497666e+04       1.661285795769e-10       1.172116620186e+18       3.084222165003e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       9.471135273747e+43       3.157045091249e+43       1.555383114539e+43       5.184610381798e+42       4.623070212068e-08       2.472372530823e+44       2.183618350964e-06       5.734262462253e+00 
       8.341300469814e+13       1.051714509437e-25       5.378751666285e-09       1.550593695166e+22       1.395428497666e+04       1.672914796339e-10       1.163968838317e+18       3.105811720158e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       9.210520157464e+43       3.070173385821e+43       1.512583984388e+43       5.041946614627e+42       4.623070212068e-08       2.404340807489e+44       2.270963085002e-06       5.513713906012e+00 
       8.283317249071e+13       1.066490046580e-25       5.416950443760e-09       1.529111211752e+22       1.395428497666e+04       1.684625199913e-10       1.155877694456e+18       3.127552402199e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       8.957076329191e+43       2.985692109730e+43       1.470962548353e+43       4.903208494508e+42       4.623070212068e-08       2.338181097907e+44       2.358307819040e-06       5.309502279864e+00 
       8.225737089444e+13       1.081473165244e-25       5.455149221234e-09       1.507926354400e+22       1.395428497666e+04       1.696417576313e-10       1.147842794892e+18       3.149445269014e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       8.710606458197e+43       2.903535486066e+43       1.430486400087e+43       4.768288000289e+42       4.623070212068e-08       2.273841890293e+44       2.445652553079e-06       5.119877198440e+00 
       8.168557189121e+13       1.096666781743e-25       5.493347998708e-09       1.487034999689e+22       1.395428497666e+04       1.708292499347e-10       1.139863748651e+18       3.171491385897e-09       1.225068823354e+44       1.355915602413e+33       7.175231742800e+33       8.470918643654e+43       2.823639547885e+43       1.391124024962e+43       4.637080083207e+42       4.623070212068e-08       2.211273090300e+44       2.532997287117e-06       4.943329708838e+00 
       8.111774765760e+13       1.112073853359e-25       5.531546776183e-09       1.466433081330e+22       1.395428497666e+04       1.720250546842e-10       1.131940167479e+18       3.193691825598e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       8.237826265229e+43       2.745942088410e+43       1.352844775532e+43       4.509482585106e+42       4.623070212068e-08       2.150425982018e+44       2.620342021156e-06       4.778552051877e+00 
       8.055387056366e+13       1.127697378925e-25       5.569745553657e-09       1.446116589366e+22       1.395428497666e+04       1.732292300670e-10       1.124071665818e+18       3.216047668377e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       8.011147837777e+43       2.670382612592e+43       1.315618847668e+43       4.385396158894e+42       4.623070212068e-08       2.091253190039e+44       2.707686755194e-06       4.624405211494e+00 
