#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       1.073476484185e-01       2.469015940316e-07      -1.182345941554e+00       3.172470648842e-06       1.533187832351e-13       3.832969580876e-13       1.041978302557e-22       7.665939161753e-14      -8.867594561656e-01       3.172470648842e-06       5.911667019690e-01       7.044135713696e-01      -1.182345941554e+00       3.172470486309e-06       4.540648454819e-08      -8.867594561656e-01       3.172470992365e-06      -1.182345941554e+00       3.172470486611e-06       4.521911532912e-08       3.333333333333e-01 
       1.144425650759e-01       2.632232119183e-07      -1.182372769611e+00       3.382184146964e-06       1.857784698398e-13       4.644461745996e-13       1.435024361665e-22       9.288923491991e-14      -8.867795772084e-01       3.382184146964e-06       5.911783058019e-01       7.044068721061e-01      -1.182372769611e+00       3.382183950022e-06       5.160711181593e-08      -8.867795772084e-01       3.382184563193e-06      -1.182372769611e+00       3.382183950476e-06       5.136495934257e-08       3.333333333333e-01 
       1.215374817332e-01       2.795452237504e-07      -1.182399189098e+00       3.591900817627e-06       2.225246119454e-13       5.563115298635e-13       1.938642499236e-22       1.112623059727e-13      -8.867993918232e-01       3.591900817627e-06       5.911890211067e-01       7.044002754813e-01      -1.182399189098e+00       3.591900581733e-06       5.820451559212e-08      -8.867993918232e-01       3.591901316158e-06      -1.182399189098e+00       3.591900582380e-06       5.790038166973e-08       3.333333333333e-01 
       1.286323983906e-01       2.958676295278e-07      -1.182425131669e+00       3.801620227710e-06       2.638232084067e-13       6.595580210167e-13       2.574680987401e-22       1.319116042033e-13      -8.868188487520e-01       3.801620227710e-06       5.911990796501e-01       7.043937985810e-01      -1.182425131669e+00       3.801619948040e-06       6.519870284165e-08      -8.868188487521e-01       3.801620818734e-06      -1.182425131669e+00       3.801619948927e-06       6.482494794998e-08       3.333333333333e-01 
       1.357273150480e-01       3.121904292506e-07      -1.182450565354e+00       4.011342009537e-06       3.099402827163e-13       7.748507067909e-13       3.367694740164e-22       1.549701413582e-13      -8.868379240154e-01       4.011342009537e-06       5.912086523513e-01       7.043874493986e-01      -1.182450565354e+00       4.011341680982e-06       7.258967758801e-08      -8.868379240154e-01       4.011342703839e-06      -1.182450565354e+00       4.011341682162e-06       7.213822036126e-08       3.333333333333e-01 
       1.512568778682e-01       3.479196295002e-07      -1.182504551759e+00       4.470394529370e-06       4.289952096439e-13       1.072488024110e-12       5.789297012582e-22       2.144976048220e-13      -8.868784138191e-01       4.470394529370e-06       5.912284420990e-01       7.043739747503e-01      -1.182504551759e+00       4.470394074616e-06       9.015203201787e-08      -8.868784138192e-01       4.470395490261e-06      -1.182504551759e+00       4.470394076647e-06       8.950014649951e-08       3.333333333333e-01 
       1.667864406884e-01       3.836507171320e-07      -1.182556586627e+00       4.929456341505e-06       5.752006134604e-13       1.438001533651e-12       9.438585043615e-22       2.876003067302e-13      -8.869174399704e-01       4.929456341505e-06       5.912472201005e-01       7.043609903625e-01      -1.182556586627e+00       4.929455731775e-06       1.096154302458e-07      -8.869174399705e-01       4.929457629736e-06      -1.182556586627e+00       4.929455735002e-06       1.087176703387e-07       3.333333333333e-01 
       1.823160035086e-01       4.193836921460e-07      -1.182607077364e+00       5.388527005206e-06       7.513477505392e-13       1.878369376348e-12       1.473260659832e-21       3.756738752696e-13      -8.869553080231e-01       5.388527005206e-06       5.912653911262e-01       7.043483943839e-01      -1.182607077364e+00       5.388526208763e-06       1.309799081760e-07      -8.869553080232e-01       5.388528687758e-06      -1.182607077364e+00       5.388526213607e-06       1.297862225987e-07       3.333333333333e-01 
       1.978455663289e-01       4.551185545421e-07      -1.182656348799e+00       5.847606309629e-06       9.602285621031e-13       2.400571405258e-12       2.217375409226e-21       4.801142810515e-13      -8.869922615991e-01       5.847606309629e-06       5.912831722814e-01       7.043361056072e-01      -1.182656348799e+00       5.847605291777e-06       1.542455180244e-07      -8.869922615992e-01       5.847608459715e-06      -1.182656348799e+00       5.847605298740e-06       1.527012625882e-07       3.333333333333e-01 
       2.133751291491e-01       4.908553043204e-07      -1.182704643933e+00       6.306694107730e-06       1.204635664436e-12       3.011589161091e-12       3.235774273076e-21       6.023178322182e-13      -8.870284829499e-01       6.306694107730e-06       5.913006997325e-01       7.043240632821e-01      -1.182704643933e+00       6.306692830813e-06       1.794123042080e-07      -8.870284829500e-01       6.306696804791e-06      -1.182704643933e+00       6.306692840484e-06       1.774582525017e-07       3.333333333333e-01 
